venta_id,fecha,dia,semana,categoria_id
1,2023-01-02,lunes,1,1
2,2023-01-03,martes,1,1
3,2023-01-04,miércoles,1,1
4,2023-01-05,jueves,1,1
5,2023-01-07,sábado,1,1
6,2023-01-09,lunes,2,1
7,2023-01-10,martes,2,1
8,2023-01-11,miércoles,2,1
9,2023-01-12,jueves,2,1
10,2023-01-13,viernes,2,1
11,2023-01-14,sábado,2,1
12,2023-01-16,lunes,3,1
13,2023-01-17,martes,3,1
14,2023-01-18,miércoles,3,1
15,2023-01-19,jueves,3,1
16,2023-01-20,viernes,3,1
17,2023-01-21,sábado,3,1
18,2023-01-23,lunes,4,1
19,2023-01-24,martes,4,1
20,2023-01-25,miércoles,4,1
21,2023-01-26,jueves,4,1
22,2023-01-27,viernes,4,1
23,2023-01-28,sábado,4,1
24,2023-01-30,lunes,5,1
25,2023-01-31,martes,5,1
26,2023-02-01,miércoles,5,1
27,2023-02-02,jueves,5,1
28,2023-02-03,viernes,5,1
29,2023-02-04,sábado,5,1
30,2023-02-06,lunes,6,1
31,2023-02-07,martes,6,1
32,2023-02-08,miércoles,6,1
33,2023-02-09,jueves,6,1
34,2023-02-10,viernes,6,1
35,2023-02-11,sábado,6,1
36,2023-02-13,lunes,7,1
37,2023-02-14,martes,7,1
38,2023-02-15,miércoles,7,1
39,2023-02-16,jueves,7,1
40,2023-02-17,viernes,7,1
41,2023-02-18,sábado,7,1
42,2023-02-20,lunes,8,1
43,2023-02-21,martes,8,1
44,2023-02-22,miércoles,8,1
45,2023-02-23,jueves,8,1
46,2023-02-24,viernes,8,1
47,2023-02-25,sábado,8,1
48,2023-02-27,lunes,9,1
49,2023-02-28,martes,9,1
50,2023-03-01,miércoles,9,1
51,2023-03-02,jueves,9,1
52,2023-03-03,viernes,9,1
53,2023-03-04,sábado,9,1
54,2023-03-06,lunes,10,1
55,2023-03-07,martes,10,1
56,2023-03-08,miércoles,10,1
57,2023-03-09,jueves,10,1
58,2023-03-10,viernes,10,1
59,2023-03-11,sábado,10,1
60,2023-03-13,lunes,11,1
61,2023-03-14,martes,11,1
62,2023-03-15,miércoles,11,1
63,2023-03-16,jueves,11,1
64,2023-03-17,viernes,11,1
65,2023-03-18,sábado,11,1
66,2023-03-20,lunes,12,1
67,2023-03-21,martes,12,1
68,2023-03-22,miércoles,12,1
69,2023-03-23,jueves,12,1
70,2023-03-24,viernes,12,1
71,2023-03-25,sábado,12,1
72,2023-03-27,lunes,13,1
73,2023-03-28,martes,13,1
74,2023-03-29,miércoles,13,1
75,2023-03-30,jueves,13,1
76,2023-03-31,viernes,13,1
77,2023-04-01,sábado,13,1
78,2023-04-03,lunes,14,1
79,2023-04-04,martes,14,1
80,2023-04-05,miércoles,14,1
81,2023-04-08,sábado,14,1
82,2023-04-10,lunes,15,1
83,2023-04-11,martes,15,1
84,2023-04-12,miércoles,15,1
85,2023-04-13,jueves,15,1
86,2023-04-14,viernes,15,1
87,2023-04-15,sábado,15,1
88,2023-04-17,lunes,16,1
89,2023-04-18,martes,16,1
90,2023-04-19,miércoles,16,1
91,2023-04-20,jueves,16,1
92,2023-04-21,viernes,16,1
93,2023-04-22,sábado,16,1
94,2023-04-24,lunes,17,1
95,2023-04-25,martes,17,1
96,2023-04-26,miércoles,17,1
97,2023-04-27,jueves,17,1
98,2023-04-28,viernes,17,1
99,2023-04-29,sábado,17,1
100,2023-05-02,martes,18,1
101,2023-05-03,miércoles,18,1
102,2023-05-04,jueves,18,1
103,2023-05-05,viernes,18,1
104,2023-05-06,sábado,18,1
105,2023-05-08,lunes,19,1
106,2023-05-09,martes,19,1
107,2023-05-10,miércoles,19,1
108,2023-05-11,jueves,19,1
109,2023-05-12,viernes,19,1
110,2023-05-13,sábado,19,1
111,2023-05-15,lunes,20,1
112,2023-05-16,martes,20,1
113,2023-05-17,miércoles,20,1
114,2023-05-18,jueves,20,1
115,2023-05-19,viernes,20,1
116,2023-05-20,sábado,20,1
117,2023-05-22,lunes,21,1
118,2023-05-23,martes,21,1
119,2023-05-24,miércoles,21,1
120,2023-05-25,jueves,21,1
121,2023-05-26,viernes,21,1
122,2023-05-27,sábado,21,1
123,2023-05-29,lunes,22,1
124,2023-05-30,martes,22,1
125,2023-05-31,miércoles,22,1
