venta_id,producto_id,venta
1,1,4
2,1,28
3,1,3
4,1,12
5,1,13
6,1,16
7,1,11
8,1,16
9,1,19
10,1,14
11,1,43
12,1,17
13,1,25
14,1,35
15,1,14
16,1,19
17,1,14
18,1,36
19,1,0
20,1,20
21,1,27
22,1,9
23,1,58
24,1,12
25,1,14
26,1,18
27,1,2
28,1,32
29,1,16
30,1,14
31,1,17
32,1,13
33,1,19
34,1,11
35,1,26
36,1,35
37,1,5
38,1,32
39,1,7
40,1,23
41,1,60
42,1,35
43,1,18
44,1,26
45,1,22
46,1,40
47,1,47
48,1,8
49,1,5
50,1,21
51,1,14
52,1,8
53,1,8
54,1,39
55,1,15
56,1,10
57,1,22
58,1,24
59,1,60
60,1,38
61,1,19
62,1,15
63,1,27
64,1,14
65,1,16
66,1,39
67,1,10
68,1,1
69,1,12
70,1,16
71,1,16
72,1,10
73,1,10
74,1,32
75,1,20
76,1,37
77,1,11
78,1,31
79,1,25
80,1,21
81,1,20
82,1,15
83,1,14
84,1,33
85,1,1
86,1,29
87,1,9
88,1,27
89,1,15
90,1,21
91,1,2
92,1,14
93,1,9
94,1,18
95,1,0
96,1,21
97,1,6
98,1,44
99,1,56
100,1,8
101,1,32
102,1,28
103,1,12
104,1,45
105,1,12
106,1,19
107,1,7
108,1,6
109,1,34
110,1,30
111,1,7
112,1,29
113,1,24
114,1,30
115,1,31
116,1,14
117,1,32
118,1,21
119,1,27
120,1,12
121,1,9
122,1,14
123,1,15
124,1,26
125,1,12
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
1,2,14
2,2,4
3,2,15
4,2,29
5,2,15
6,2,25
7,2,23
8,2,23
9,2,3
10,2,50
11,2,59
12,2,26
13,2,16
14,2,28
15,2,22
16,2,33
17,2,47
18,2,11
19,2,9
20,2,27
21,2,13
22,2,11
23,2,14
24,2,35
