producto_id,producto,formato,precio,subcategoria_id,categoria_id,seccion_id
1,Plátano de Canarias,Pieza 160 g aprox.,0.3,1,1,1
2,Banana,Pieza 170 g aprox.,0.25,1,1,1
3,Plátano macho,Pieza 340 g aprox.,0.95,1,1,1
4,Uva blanca sin semillas,Bandeja 500 g aprox.,2.45,1,1,1
5,Uva roja sin semillas,Bandeja 500 g aprox.,2.4,1,1,1
6,Manzana Golden,Pieza 190 g aprox.,0.36,2,1,1
7,Manzanas Golden,"Bolsa 1,5 kg aprox.",2.39,2,1,1
8,Pera Conferencia,Pieza 160 g aprox.,0.36,2,1,1
9,Peras Conferencia,"1,5 kg aprox.",2.69,2,1,1
10,Pera Ercolina,Pieza 90 g aprox.,0.28,2,1,1
11,Manzana Granny Smith,Pieza 210 g aprox.,0.38,2,1,1
12,Manzana Evelina,Pieza 220 g aprox.,0.57,2,1,1
13,Manzana Evelina,"Bolsa 1,5 kg aprox.",3.44,2,1,1
14,Manzana Envy,Pieza 280 g aprox.,0.73,2,1,1
15,Manzanas Envy,"Bolsa 1,5 kg aprox.",3.44,2,1,1
16,1/4 Sandía baja en semillas,"1/4 Pieza 1,32 kg aprox.",1.7,3,1,1
17,Media sandía baja en semillas,"1/2 Pieza 2,49 kg aprox.",3.21,3,1,1
18,Sandía baja en semillas,"Pieza 5,34 kg aprox.",6.35,3,1,1
19,Medio melón piel de sapo,"1/2 Pieza 1,77 kg aprox.",3.88,3,1,1
20,Melón piel de sapo,"Pieza 3,21 kg aprox.",6.71,3,1,1
21,Limones,Malla 1 kg,2.19,4,1,1
22,Limón,Pieza 210 g aprox.,0.5,4,1,1
23,Mandarina,Pieza 150 g aprox.,0.3,4,1,1
24,Naranja para mesa,Pieza 390 g aprox.,0.64,4,1,1
25,Naranjas,Malla 3 kg,4.05,4,1,1
26,Naranjas,Malla 5 kg,5.75,4,1,1
27,Pomelo,Pieza 330 g aprox.,0.73,4,1,1
28,Limas,400 g aprox.,2.0,4,1,1
29,Kiwi verde,Pieza 110 g aprox.,0.33,5,1,1
30,Kiwis verdes,1 kg aprox.,2.88,5,1,1
31,Aguacate,Pieza 200 g aprox.,0.88,5,1,1
32,Aguacates,550 g aprox.,2.3,5,1,1
33,Piña,"Pieza 1,77 kg aprox.",3.38,5,1,1
34,Media piña,1/2 Pieza 900 g aprox.,1.9,5,1,1
35,Guacamole Hacendado,Tarrina 500 g,3.59,5,1,1
36,Guacamole Hacendado,Tarrina 200 g,1.75,5,1,1
37,Mango,Pieza 500 g aprox.,1.3,5,1,1
38,Piña natural a rodajas,Bote 500 g aprox.,2.68,5,1,1
39,Papaya,"Pieza 1,28 kg aprox.",6.14,5,1,1
40,Media papaya,1/2 Pieza 640 g aprox.,3.19,5,1,1
41,Cereza,Bandeja 500 g aprox.,4.38,6,1,1
42,Fresón,Bandeja 500 g aprox.,1.95,6,1,1
43,Frambuesas,Bandeja 170 g,2.19,6,1,1
44,Níspero,Bandeja 500 g aprox.,2.25,6,1,1
45,Moras,Bandeja 125 g,1.99,6,1,1
46,Arándanos,Vaso 225 g,2.69,6,1,1
47,Arándanos,Tarrina 500 g,4.99,6,1,1
48,Lechuga iceberg,Pieza 1 ud.,1.24,7,2,1
49,Ensalada mezcla 4 estaciones,Paquete 250 g,0.72,7,2,1
50,Lechugas corazón romana,Paquete 2 ud.,1.53,7,2,1
51,Ensalada mezcla brotes tiernos,Paquete 100 g,1.15,7,2,1
52,Canónigos base para ensalada,Paquete 125 g,1.14,7,2,1
53,Lechuga iceberg base para ensalada,Paquete 250 g,0.86,7,2,1
54,Ensalada mezcla gourmet,Paquete 175 g,1.02,7,2,1
55,Cogollos de lechuga,Paquete 3 ud.,1.06,7,2,1
56,Lechuga corazón romana,Paquete 1 ud.,1.15,7,2,1
57,Endibias,Bandeja 450 g,1.55,7,2,1
58,Ensalada mezcla brotes tiernos maxi,Paquete 175 g,1.59,7,2,1
59,Ensalada mezcla gourmet maxi,Paquete 300 g,1.66,7,2,1
60,Ensalada mezcla tierna,Paquete 150 g,1.2,7,2,1
61,Rúcula base para ensalada,Paquete 50 g,0.72,7,2,1
62,Cogollos corazón de lechuga,Paquete 6 ud.,1.88,7,2,1
63,Ensalada mezcla primavera,Paquete 200 g,0.96,7,2,1
64,Ensalada mezcla dúo canónigos y rúcula,Paquete 100 g,1.3,7,2,1
65,Ensalada mezcla fresca,Paquete 200 g,1.11,7,2,1
66,Lechuga hoja roble,Paquete 1 ud.,1.3,7,2,1
67,Escarola rizada base para ensalada,Paquete 150 g,1.2,7,2,1
68,Escarola rizada,Paquete 1 ud.,1.54,7,2,1
69,Espinaca baby base para ensalada,Paquete 100 g,1.11,7,2,1
70,Lechuga romana cortada,Paquete 200 g,1.15,7,2,1
71,Ensalada César,Bol 210 g,2.29,8,2,1
72,Ensalada California,Bol 192 g,2.29,8,2,1
73,Wraps Texas,Bol 300 g,2.99,8,2,1
74,Ensalada de la casa,Bol 400 g,1.91,8,2,1
75,Ensalada mil islas,Bol 330 g,2.55,8,2,1
