producto,formato,precio
Plátano de Canarias,Pieza 160 g aprox.,"0,30 €"
Banana,Pieza 170 g aprox.,"0,25 €"
Plátano macho,Pieza 340 g aprox.,"0,95 €"
Uva blanca sin semillas,Bandeja 500 g aprox.,"2,45 €"
Uva roja sin semillas,Bandeja 500 g aprox.,"2,40 €"
Manzana Golden,Pieza 190 g aprox.,"0,40 €"
Manzanas Golden,"Bolsa 1,5 kg aprox.","2,69 €"
Pera Conferencia,Pieza 140 g aprox.,"0,32 €"
Peras Conferencia,"1,5 kg aprox.","2,69 €"
Pera Ercolina,Pieza 90 g aprox.,"0,28 €"
Manzana Granny Smith,Pieza 230 g aprox.,"0,42 €"
Manzana Story,Pieza 170 g aprox.,"0,34 €"
Manzana Crimson Snow,Pieza 200 g aprox.,"0,48 €"
Manzanas Crimson Snow,"Bolsa 1,5 kg aprox.","2,99 €"
1/4 Sandía baja en semillas,"1/4 Pieza 1,5 kg aprox.","1,49 €"
Media sandía baja en semillas,"1/2 Pieza 2,66 kg aprox.","2,63 €"
Sandía baja en semillas,"Pieza 5,66 kg aprox.","5,04 €"
Medio melón piel de sapo,"1/2 Pieza 1,57 kg aprox.","2,18 €"
Melón piel de sapo,"Pieza 3,23 kg aprox.","4,17 €"
Limones,Malla 1 kg,"2,19 €"
Limón,Pieza 200 g aprox.,"0,48 €"
Naranja para mesa,Pieza 390 g aprox.,"0,68 €"
Naranjas,Malla 3 kg,"4,35 €"
Naranjas,Malla 5 kg,"6,25 €"
Pomelo,Pieza 360 g aprox.,"0,97 €"
Limas,400 g aprox.,"2,00 €"
Kiwis amarillos,500 g aprox.,"3,20 €"
Kiwi verde,Pieza 110 g aprox.,"0,33 €"
Kiwis verdes,1 kg aprox.,"2,88 €"
Aguacate,Pieza 180 g aprox.,"0,68 €"
Aguacates,550 g aprox.,"2,08 €"
Piña,"Pieza 1,83 kg aprox.","3,50 €"
Media piña,1/2 Pieza 890 g aprox.,"1,88 €"
Guacamole Hacendado,Tarrina 500 g,"3,59 €"
Guacamole Hacendado,Tarrina 200 g,"1,75 €"
Mango,Pieza 440 g aprox.,"1,14 €"
Piña natural a rodajas,Bote 500 g aprox.,"2,68 €"
Papaya,"Pieza 1,32 kg aprox.","6,34 €"
Media papaya,1/2 Pieza 680 g aprox.,"3,39 €"
Albaricoque,750 g aprox.,"2,69 €"
Cereza,Bandeja 500 g aprox.,"3,40 €"
Cereza,Bandeja 1 kg aprox.,"5,99 €"
Fresas,Bandeja 500 g aprox.,"3,50 €"
Ciruela roja,Pieza 90 g aprox.,"0,34 €"
Frambuesas,Bandeja 170 g,"2,19 €"
Moras,Bandeja 125 g,"1,99 €"
Arándanos,Vaso 225 g,"2,78 €"
Paraguayo,Pieza 130 g aprox.,"0,52 €"
Nectarina pulpa blanca,Pieza 170 g aprox.,"0,68 €"
