producto,formato,precio
Patata,Pieza 180 g aprox.,"0,32 €"
Patatas,Malla 3 kg,"4,30 €"
Patatas rojas,Malla 2 kg,"3,65 €"
Patatas,Malla 5 kg,"6,49 €"
Patatas guarnición,Malla 1 kg,"2,30 €"
Batata,Pieza 360 g aprox.,"0,97 €"
Patatas especial para freir,Malla 2 kg,"3,75 €"
Cebollas tiernas,Manojo 3 ud.,"1,24 €"
Cebollas,Malla 2 kg,"2,99 €"
Cebollas,Malla 1 kg,"1,95 €"
Ajos morados,Malla 250 g,"1,39 €"
Cebollas dulces,Malla 1 kg,"2,30 €"
Ajos morados,Malla 400 g,"1,91 €"
Cebollas rojas,Malla 500 g,"1,29 €"
Yuca,Pieza 590 g aprox.,"1,64 €"
Ajo negro dientes pelados,Tarrina 85 g,"4,45 €"
Picada de ajo y Perejil,Bandeja 100 g,"1,39 €"
Tomate ensalada,Pieza 260 g aprox.,"0,57 €"
Tomate canario,Pieza 170 g aprox.,"0,34 €"
Tomate pera,Pieza 150 g aprox.,"0,34 €"
Tomates pera,1 kg aprox.,"2,39 €"
Tomates cherry pera kumato,Bandeja 300 g,"1,48 €"
Tomates cherry,Bandeja 500 g,"1,83 €"
Tomates cherry en rama Dulcita,Bandeja 200 g,"2,26 €"
Tomates kumato negro,1 kg aprox.,"2,39 €"
Tomates,Malla 2 kg,"3,78 €"
Tomate kumato negro,Pieza 170 g aprox.,"0,42 €"
Tomate rallado,Tarrina 290 g,"1,39 €"
Rama de Tomates,810 g aprox.,"2,10 €"
Tomate rosa,Pieza 400 g aprox.,"1,34 €"
Tomate ensalada,1 kg aprox.,"2,29 €"
Zanahorias,Paquete 1 kg,"1,15 €"
Pepino,Pieza 230 g aprox.,"0,41 €"
Pepino holandés,Pieza 425 g aprox.,"1,02 €"
Zanahorias,Paquete 500 g,"0,89 €"
Pepinos,"Malla 1,25 kg","2,20 €"
Palitos de zanahoria,Tarrina 180 g,"1,78 €"
Zanahoria rallada base para ensalada,Paquete 150 g,"0,82 €"
Pimiento rojo,Pieza 360 g aprox.,"1,04 €"
Calabacín verde,Pieza 370 g aprox.,"0,63 €"
Pimiento verde freír,Pieza 80 g aprox.,"0,19 €"
Calabacín blanco,Pieza 350 g aprox.,"0,70 €"
Pimiento verde,Pieza 250 g aprox.,"0,62 €"
"Pimientos tricolor rojo, amarillo y verde",600 g,"1,85 €"
Pimientos semipicantes,Paquete 250 g,"1,35 €"
Pimientos rojos picantes,Bandeja 100 g,"1,53 €"
Coliflor,"Pieza 1,09 kg aprox.","1,93 €"
Repollo liso,"Pieza 1,14 kg aprox.","1,77 €"
Medio repollo liso,1/2 Pieza 690 g aprox.,"1,27 €"
Repollo rizado,Pieza 990 g aprox.,"1,53 €"
Medio repollo rizado,1/2 Pieza 550 g aprox.,"1,01 €"
Col lombarda,"Pieza 1,64 kg aprox.","2,87 €"
Media col lombarda,1/2 Pieza 840 g aprox.,"1,68 €"
Champiñón pequeño,Bandeja 300 g aprox.,"1,39 €"
Champiñón laminado limpio,Bandeja 320 g aprox.,"1,81 €"
Seta,Bandeja 250 g aprox.,"1,76 €"
Champiñón grande,Bandeja 430 g aprox.,"2,06 €"
Seta laminada,Bandeja 250 g aprox.,"1,91 €"
Champiñón Portobello,Bandeja 300 g aprox.,"1,93 €"
Setas al plato con perejil,Bandeja 200 g,"2,84 €"
Salteado de setas laminadas,Bandeja 250 g aprox.,"1,73 €"
Seta shiitake,Bandeja 300 g aprox.,"3,53 €"
Perejil troceado,Paquete 40 g,"0,75 €"
Jengibre,200 g aprox.,"1,59 €"
Cilantro,Bandeja 20 g,"1,25 €"
Albahaca,Bandeja 20 g,"1,50 €"
Hierbabuena,Paquete 70 g,"1,25 €"
Cebollino,Bandeja 20 g,"1,25 €"
Espinacas cortadas,Paquete 300 g,"1,20 €"
Brócoli,Pieza 470 g aprox.,"1,29 €"
Berenjena,Pieza 350 g aprox.,"0,66 €"
Judía verde plana,Bandeja 750 g,"2,83 €"
Judía verde plana,Bandeja 350 g,"1,43 €"
Acelgas cortadas,Paquete 300 g,"1,11 €"
Puerros,Paquete 900 g aprox.,"2,24 €"
Judía verde redonda,Bandeja 500 g,"2,20 €"
Calabaza cacahuete cortada a trozos,Bandeja 450 g aprox.,"1,98 €"
Apio verde,Paquete 660 g aprox.,"1,26 €"
Preparado de verdura para cocido,Bandeja 900 g aprox.,"1,79 €"
Espárrago verde fino,Paquete 250 g,"1,79 €"
Rabanitos,Paquete 250 g,"1,05 €"
Remolacha cocida y pelada,Paquete 450 g,"0,89 €"
Maíz dulce en mazorca cocido,Paquete 2 ud. (450 g),"1,55 €"
Bimi,Bandeja 200 g,"2,55 €"
Espárrago verde grueso,Paquete 300 g,"3,26 €"
Maíz dulce en mazorca,Bandeja 2 ud.,"2,88 €"
3 Vegetales para micro,Paquete 300 g,"1,54 €"
Floretas de brócoli para micro,Paquete 230 g,"1,42 €"
Mix de verduras paisana para micro,Paquete 300 g,"1,80 €"
Sopa juliana para micro,Paquete 400 g,"1,35 €"
Patata para micro,Paquete 400 g,"1,30 €"
Batata para micro,Paquete 400 g,"2,40 €"
Mix de verduras jardinera para micro,Paquete 400 g,"1,90 €"
