fecha,dia_semana,subcategoria,venta
2023-01-02,lunes,Fruta,968
2023-01-03,martes,Fruta,735
2023-01-04,miércoles,Fruta,815
2023-01-05,jueves,Fruta,748
2023-01-07,sábado,Fruta,1527
2023-01-09,lunes,Fruta,1028
2023-01-10,martes,Fruta,827
2023-01-11,miércoles,Fruta,859
2023-01-12,jueves,Fruta,720
2023-01-13,viernes,Fruta,1389
2023-01-14,sábado,Fruta,1664
2023-01-16,lunes,Fruta,1036
2023-01-17,martes,Fruta,827
2023-01-18,miércoles,Fruta,862
2023-01-19,jueves,Fruta,755
2023-01-20,viernes,Fruta,1200
2023-01-21,sábado,Fruta,1448
2023-01-23,lunes,Fruta,1082
2023-01-24,martes,Fruta,562
2023-01-25,miércoles,Fruta,906
2023-01-26,jueves,Fruta,733
2023-01-27,viernes,Fruta,1202
2023-01-28,sábado,Fruta,1661
2023-01-30,lunes,Fruta,1099
2023-01-31,martes,Fruta,905
2023-02-01,miércoles,Fruta,841
2023-02-02,jueves,Fruta,828
2023-02-03,viernes,Fruta,1193
2023-02-04,sábado,Fruta,1558
2023-02-06,lunes,Fruta,911
2023-02-07,martes,Fruta,773
2023-02-08,miércoles,Fruta,824
2023-02-09,jueves,Fruta,661
2023-02-10,viernes,Fruta,1329
2023-02-11,sábado,Fruta,1647
2023-02-13,lunes,Fruta,1054
2023-02-14,martes,Fruta,757
2023-02-15,miércoles,Fruta,897
2023-02-16,jueves,Fruta,702
2023-02-17,viernes,Fruta,1303
2023-02-18,sábado,Fruta,1428
2023-02-20,lunes,Fruta,1055
2023-02-21,martes,Fruta,762
2023-02-22,miércoles,Fruta,752
2023-02-23,jueves,Fruta,845
2023-02-24,viernes,Fruta,1237
2023-02-25,sábado,Fruta,1741
2023-02-27,lunes,Fruta,961
2023-02-28,martes,Fruta,659
2023-03-01,miércoles,Fruta,775
2023-03-02,jueves,Fruta,759
2023-03-03,viernes,Fruta,1268
2023-03-04,sábado,Fruta,1494
2023-03-06,lunes,Fruta,1228
2023-03-07,martes,Fruta,683
2023-03-08,miércoles,Fruta,846
2023-03-09,jueves,Fruta,883
2023-03-10,viernes,Fruta,1194
2023-03-11,sábado,Fruta,1477
2023-03-13,lunes,Fruta,964
2023-03-14,martes,Fruta,721
2023-03-15,miércoles,Fruta,931
2023-03-16,jueves,Fruta,749
2023-03-17,viernes,Fruta,1159
2023-03-18,sábado,Fruta,1482
2023-03-20,lunes,Fruta,1104
2023-03-21,martes,Fruta,671
2023-03-22,miércoles,Fruta,803
2023-03-23,jueves,Fruta,853
2023-03-24,viernes,Fruta,1144
2023-03-25,sábado,Fruta,1438
2023-03-27,lunes,Fruta,1043
2023-03-28,martes,Fruta,677
2023-03-29,miércoles,Fruta,825
2023-03-30,jueves,Fruta,710
2023-03-31,viernes,Fruta,1397
2023-04-01,sábado,Fruta,1578
2023-04-03,lunes,Fruta,1160
2023-04-04,martes,Fruta,783
2023-04-05,miércoles,Fruta,813
2023-04-08,sábado,Fruta,1613
2023-04-10,lunes,Fruta,960
2023-04-11,martes,Fruta,895
2023-04-12,miércoles,Fruta,823
2023-04-13,jueves,Fruta,742
2023-04-14,viernes,Fruta,1460
2023-04-15,sábado,Fruta,1751
2023-04-17,lunes,Fruta,955
2023-04-18,martes,Fruta,705
2023-04-19,miércoles,Fruta,859
2023-04-20,jueves,Fruta,781
2023-04-21,viernes,Fruta,1238
2023-04-22,sábado,Fruta,1262
2023-04-24,lunes,Fruta,1088
2023-04-25,martes,Fruta,721
2023-04-26,miércoles,Fruta,839
2023-04-27,jueves,Fruta,823
2023-04-28,viernes,Fruta,1200
2023-04-29,sábado,Fruta,1506
2023-05-02,martes,Fruta,811
2023-05-03,miércoles,Fruta,919
2023-05-04,jueves,Fruta,684
2023-05-05,viernes,Fruta,1166
2023-05-06,sábado,Fruta,1712
2023-05-08,lunes,Fruta,900
2023-05-09,martes,Fruta,679
2023-05-10,miércoles,Fruta,649
2023-05-11,jueves,Fruta,733
2023-05-12,viernes,Fruta,1227
2023-05-13,sábado,Fruta,1537
2023-05-15,lunes,Fruta,1064
2023-05-16,martes,Fruta,738
2023-05-17,miércoles,Fruta,920
2023-05-18,jueves,Fruta,787
2023-05-19,viernes,Fruta,1179
2023-05-20,sábado,Fruta,1733
2023-05-22,lunes,Fruta,1000
2023-05-23,martes,Fruta,792
2023-05-24,miércoles,Fruta,863
2023-05-25,jueves,Fruta,761
2023-05-26,viernes,Fruta,1436
2023-05-27,sábado,Fruta,1469
2023-05-29,lunes,Fruta,926
2023-05-30,martes,Fruta,766
2023-05-31,miércoles,Fruta,810
2023-06-01,jueves,Fruta,0
2023-06-02,viernes,Fruta,0
2023-06-03,sábado,Fruta,0
2023-06-05,lunes,Fruta,0
2023-06-06,martes,Fruta,0
2023-06-07,miércoles,Fruta,0
2023-06-08,jueves,Fruta,0
2023-06-09,viernes,Fruta,0
2023-06-10,sábado,Fruta,0
2023-06-12,lunes,Fruta,0
2023-06-13,martes,Fruta,0
2023-06-14,miércoles,Fruta,0
2023-06-15,jueves,Fruta,0
2023-06-16,viernes,Fruta,0
2023-06-17,sábado,Fruta,0
2023-06-19,lunes,Fruta,0
2023-06-20,martes,Fruta,0
2023-06-21,miércoles,Fruta,0
2023-06-22,jueves,Fruta,0
2023-06-23,viernes,Fruta,0
2023-06-24,sábado,Fruta,0
2023-06-26,lunes,Fruta,0
2023-06-27,martes,Fruta,0
2023-06-28,miércoles,Fruta,0
2023-06-29,jueves,Fruta,0
2023-06-30,viernes,Fruta,0
