fecha,dia_semana,subcategoria,venta
2023-01-02,lunes,Verdura,1749
2023-01-03,martes,Verdura,1385
2023-01-04,miércoles,Verdura,1494
2023-01-05,jueves,Verdura,1402
2023-01-07,sábado,Verdura,2923
2023-01-09,lunes,Verdura,1924
2023-01-10,martes,Verdura,1422
2023-01-11,miércoles,Verdura,1649
2023-01-12,jueves,Verdura,1381
2023-01-13,viernes,Verdura,2548
2023-01-14,sábado,Verdura,3035
2023-01-16,lunes,Verdura,1759
2023-01-17,martes,Verdura,1302
2023-01-18,miércoles,Verdura,1725
2023-01-19,jueves,Verdura,1482
2023-01-20,viernes,Verdura,2402
2023-01-21,sábado,Verdura,3317
2023-01-23,lunes,Verdura,2079
2023-01-24,martes,Verdura,1483
2023-01-25,miércoles,Verdura,1773
2023-01-26,jueves,Verdura,1566
2023-01-27,viernes,Verdura,2158
2023-01-28,sábado,Verdura,3262
2023-01-30,lunes,Verdura,1807
2023-01-31,martes,Verdura,1334
2023-02-01,miércoles,Verdura,1593
2023-02-02,jueves,Verdura,1388
2023-02-03,viernes,Verdura,2503
2023-02-04,sábado,Verdura,2848
2023-02-06,lunes,Verdura,2002
2023-02-07,martes,Verdura,1401
2023-02-08,miércoles,Verdura,1536
2023-02-09,jueves,Verdura,1321
2023-02-10,viernes,Verdura,2579
2023-02-11,sábado,Verdura,2860
2023-02-13,lunes,Verdura,2018
2023-02-14,martes,Verdura,1375
2023-02-15,miércoles,Verdura,1761
2023-02-16,jueves,Verdura,1548
2023-02-17,viernes,Verdura,2585
2023-02-18,sábado,Verdura,3008
2023-02-20,lunes,Verdura,1775
2023-02-21,martes,Verdura,1482
2023-02-22,miércoles,Verdura,1745
2023-02-23,jueves,Verdura,1638
2023-02-24,viernes,Verdura,2404
2023-02-25,sábado,Verdura,2934
2023-02-27,lunes,Verdura,1819
2023-02-28,martes,Verdura,1370
2023-03-01,miércoles,Verdura,1608
2023-03-02,jueves,Verdura,1344
2023-03-03,viernes,Verdura,2409
2023-03-04,sábado,Verdura,3079
2023-03-06,lunes,Verdura,1605
2023-03-07,martes,Verdura,1385
2023-03-08,miércoles,Verdura,1733
2023-03-09,jueves,Verdura,1468
2023-03-10,viernes,Verdura,2236
2023-03-11,sábado,Verdura,2794
2023-03-13,lunes,Verdura,1811
2023-03-14,martes,Verdura,1294
2023-03-15,miércoles,Verdura,1763
2023-03-16,jueves,Verdura,1307
2023-03-17,viernes,Verdura,2268
2023-03-18,sábado,Verdura,3219
2023-03-20,lunes,Verdura,1892
2023-03-21,martes,Verdura,1440
2023-03-22,miércoles,Verdura,1790
2023-03-23,jueves,Verdura,1374
2023-03-24,viernes,Verdura,2229
2023-03-25,sábado,Verdura,2724
2023-03-27,lunes,Verdura,1760
2023-03-28,martes,Verdura,1512
2023-03-29,miércoles,Verdura,1562
2023-03-30,jueves,Verdura,1534
2023-03-31,viernes,Verdura,2400
2023-04-01,sábado,Verdura,2974
2023-04-03,lunes,Verdura,1899
2023-04-04,martes,Verdura,1471
2023-04-05,miércoles,Verdura,1652
2023-04-08,sábado,Verdura,3488
2023-04-10,lunes,Verdura,2033
2023-04-11,martes,Verdura,1554
2023-04-12,miércoles,Verdura,1641
2023-04-13,jueves,Verdura,1288
2023-04-14,viernes,Verdura,2346
2023-04-15,sábado,Verdura,3321
2023-04-17,lunes,Verdura,1897
2023-04-18,martes,Verdura,1271
2023-04-19,miércoles,Verdura,1819
2023-04-20,jueves,Verdura,1372
2023-04-21,viernes,Verdura,2504
2023-04-22,sábado,Verdura,2725
2023-04-24,lunes,Verdura,2137
2023-04-25,martes,Verdura,1243
2023-04-26,miércoles,Verdura,1428
2023-04-27,jueves,Verdura,1446
2023-04-28,viernes,Verdura,2466
2023-04-29,sábado,Verdura,3170
2023-05-02,martes,Verdura,1522
2023-05-03,miércoles,Verdura,1798
2023-05-04,jueves,Verdura,1358
2023-05-05,viernes,Verdura,2449
2023-05-06,sábado,Verdura,2930
2023-05-08,lunes,Verdura,1889
2023-05-09,martes,Verdura,1498
2023-05-10,miércoles,Verdura,1645
2023-05-11,jueves,Verdura,1218
2023-05-12,viernes,Verdura,2330
2023-05-13,sábado,Verdura,2856
2023-05-15,lunes,Verdura,1863
2023-05-16,martes,Verdura,1399
2023-05-17,miércoles,Verdura,1910
2023-05-18,jueves,Verdura,1397
2023-05-19,viernes,Verdura,2545
2023-05-20,sábado,Verdura,2933
2023-05-22,lunes,Verdura,1919
2023-05-23,martes,Verdura,1384
2023-05-24,miércoles,Verdura,1560
2023-05-25,jueves,Verdura,1366
2023-05-26,viernes,Verdura,2189
2023-05-27,sábado,Verdura,2954
2023-05-29,lunes,Verdura,2067
2023-05-30,martes,Verdura,1433
2023-05-31,miércoles,Verdura,1560
2023-06-01,jueves,Verdura,0
2023-06-02,viernes,Verdura,0
2023-06-03,sábado,Verdura,0
2023-06-05,lunes,Verdura,0
2023-06-06,martes,Verdura,0
2023-06-07,miércoles,Verdura,0
2023-06-08,jueves,Verdura,0
2023-06-09,viernes,Verdura,0
2023-06-10,sábado,Verdura,0
2023-06-12,lunes,Verdura,0
2023-06-13,martes,Verdura,0
2023-06-14,miércoles,Verdura,0
2023-06-15,jueves,Verdura,0
2023-06-16,viernes,Verdura,0
2023-06-17,sábado,Verdura,0
2023-06-19,lunes,Verdura,0
2023-06-20,martes,Verdura,0
2023-06-21,miércoles,Verdura,0
2023-06-22,jueves,Verdura,0
2023-06-23,viernes,Verdura,0
2023-06-24,sábado,Verdura,0
2023-06-26,lunes,Verdura,0
2023-06-27,martes,Verdura,0
2023-06-28,miércoles,Verdura,0
2023-06-29,jueves,Verdura,0
2023-06-30,viernes,Verdura,0
