fecha,dia_semana,categoria,venta_total
2023-01-05,jueves,"Fruta y verdura",2480
2023-01-12,jueves,"Fruta y verdura",2629
2023-01-19,jueves,"Fruta y verdura",2673
2023-01-26,jueves,"Fruta y verdura",2445
2023-02-02,jueves,"Fruta y verdura",2548
2023-02-09,jueves,"Fruta y verdura",2387
2023-02-16,jueves,"Fruta y verdura",2616
2023-02-23,jueves,"Fruta y verdura",2543
2023-03-02,jueves,"Fruta y verdura",2687
2023-03-09,jueves,"Fruta y verdura",2561
2023-03-16,jueves,"Fruta y verdura",2675
2023-03-23,jueves,"Fruta y verdura",2606
2023-03-30,jueves,"Fruta y verdura",2744
2023-04-13,jueves,"Fruta y verdura",2645
2023-04-20,jueves,"Fruta y verdura",2504
2023-04-27,jueves,"Fruta y verdura",2812
2023-05-04,jueves,"Fruta y verdura",2622
2023-05-11,jueves,"Fruta y verdura",2837
2023-05-18,jueves,"Fruta y verdura",2921
2023-05-25,jueves,"Fruta y verdura",2592
