fecha,dia_semana,categoria,venta_total
2023-01-02,lunes,"Fruta y verdura",4133
2023-01-09,lunes,"Fruta y verdura",4030
2023-01-16,lunes,"Fruta y verdura",4050
2023-01-23,lunes,"Fruta y verdura",3968
2023-01-30,lunes,"Fruta y verdura",3808
2023-02-06,lunes,"Fruta y verdura",4102
2023-02-13,lunes,"Fruta y verdura",3886
2023-02-20,lunes,"Fruta y verdura",3772
2023-02-27,lunes,"Fruta y verdura",3912
2023-03-06,lunes,"Fruta y verdura",4023
2023-03-13,lunes,"Fruta y verdura",4319
2023-03-20,lunes,"Fruta y verdura",4012
2023-03-27,lunes,"Fruta y verdura",4261
2023-04-03,lunes,"Fruta y verdura",3925
2023-04-10,lunes,"Fruta y verdura",3742
2023-04-17,lunes,"Fruta y verdura",4163
2023-04-24,lunes,"Fruta y verdura",4257
2023-05-08,lunes,"Fruta y verdura",3871
2023-05-15,lunes,"Fruta y verdura",3994
2023-05-22,lunes,"Fruta y verdura",4020
2023-05-29,lunes,"Fruta y verdura",4238
