fecha,dia_semana,categoria,venta_total
2023-01-03,martes,"Fruta y verdura",2658
2023-01-10,martes,"Fruta y verdura",2546
2023-01-17,martes,"Fruta y verdura",2557
2023-01-24,martes,"Fruta y verdura",2755
2023-01-31,martes,"Fruta y verdura",2605
2023-02-07,martes,"Fruta y verdura",2794
2023-02-14,martes,"Fruta y verdura",2646
2023-02-21,martes,"Fruta y verdura",2535
2023-02-28,martes,"Fruta y verdura",2604
2023-03-07,martes,"Fruta y verdura",2557
2023-03-14,martes,"Fruta y verdura",2420
2023-03-21,martes,"Fruta y verdura",2599
2023-03-28,martes,"Fruta y verdura",2671
2023-04-04,martes,"Fruta y verdura",2622
2023-04-11,martes,"Fruta y verdura",2703
2023-04-18,martes,"Fruta y verdura",2738
2023-04-25,martes,"Fruta y verdura",2516
2023-05-02,martes,"Fruta y verdura",2461
2023-05-09,martes,"Fruta y verdura",2683
2023-05-16,martes,"Fruta y verdura",2582
2023-05-23,martes,"Fruta y verdura",2679
2023-05-30,martes,"Fruta y verdura",2464
