fecha,dia_semana,categoria,venta_total
2023-01-07,sábado,"Fruta y verdura",6360
2023-01-14,sábado,"Fruta y verdura",6620
2023-01-21,sábado,"Fruta y verdura",6753
2023-01-28,sábado,"Fruta y verdura",6774
2023-02-04,sábado,"Fruta y verdura",6319
2023-02-11,sábado,"Fruta y verdura",6386
2023-02-18,sábado,"Fruta y verdura",6552
2023-02-25,sábado,"Fruta y verdura",6853
2023-03-04,sábado,"Fruta y verdura",6623
2023-03-11,sábado,"Fruta y verdura",6668
2023-03-18,sábado,"Fruta y verdura",5869
2023-03-25,sábado,"Fruta y verdura",6187
2023-04-01,sábado,"Fruta y verdura",6461
2023-04-08,sábado,"Fruta y verdura",6649
2023-04-15,sábado,"Fruta y verdura",6261
2023-04-22,sábado,"Fruta y verdura",6473
2023-04-29,sábado,"Fruta y verdura",6735
2023-05-06,sábado,"Fruta y verdura",6393
2023-05-13,sábado,"Fruta y verdura",6323
2023-05-20,sábado,"Fruta y verdura",6380
2023-05-27,sábado,"Fruta y verdura",6334
