fecha,dia_semana,categoria,venta_total
2023-01-13,viernes,"Fruta y verdura",4657
2023-01-20,viernes,"Fruta y verdura",4681
2023-01-27,viernes,"Fruta y verdura",4945
2023-02-03,viernes,"Fruta y verdura",4769
2023-02-10,viernes,"Fruta y verdura",4638
2023-02-17,viernes,"Fruta y verdura",5176
2023-02-24,viernes,"Fruta y verdura",4420
2023-03-03,viernes,"Fruta y verdura",4961
2023-03-10,viernes,"Fruta y verdura",4613
2023-03-17,viernes,"Fruta y verdura",4842
2023-03-24,viernes,"Fruta y verdura",4703
2023-03-31,viernes,"Fruta y verdura",4761
2023-04-14,viernes,"Fruta y verdura",4804
2023-04-21,viernes,"Fruta y verdura",5142
2023-04-28,viernes,"Fruta y verdura",5012
2023-05-05,viernes,"Fruta y verdura",5001
2023-05-12,viernes,"Fruta y verdura",4971
2023-05-19,viernes,"Fruta y verdura",4527
2023-05-26,viernes,"Fruta y verdura",4995
