fecha,dia_semana,categoria,producto,venta_total
2023-01-05,jueves,"Fruta y verdura","1/4 Sandía baja en semillas",16
2023-01-05,jueves,"Fruta y verdura","3 Vegetales para micro",9
2023-01-05,jueves,"Fruta y verdura","Acelgas cortadas",15
2023-01-05,jueves,"Fruta y verdura",Aguacate,17
2023-01-05,jueves,"Fruta y verdura",Aguacates,16
2023-01-05,jueves,"Fruta y verdura","Ajo negro dientes pelados",24
2023-01-05,jueves,"Fruta y verdura","Ajos morados",6
2023-01-05,jueves,"Fruta y verdura",Albahaca,13
2023-01-05,jueves,"Fruta y verdura",Albaricoque,27
2023-01-05,jueves,"Fruta y verdura","Apio verde",22
2023-01-05,jueves,"Fruta y verdura",Arándanos,12
2023-01-05,jueves,"Fruta y verdura",Banana,26
2023-01-05,jueves,"Fruta y verdura",Batata,27
2023-01-05,jueves,"Fruta y verdura","Batata para micro",23
2023-01-05,jueves,"Fruta y verdura",Berenjena,25
2023-01-05,jueves,"Fruta y verdura",Bimi,3
2023-01-05,jueves,"Fruta y verdura",Brócoli,15
2023-01-05,jueves,"Fruta y verdura","Calabacín blanco",9
2023-01-05,jueves,"Fruta y verdura","Calabacín verde",5
2023-01-05,jueves,"Fruta y verdura","Calabaza cacahuete cortada a trozos",20
2023-01-05,jueves,"Fruta y verdura","Canónigos base para ensalada",9
2023-01-05,jueves,"Fruta y verdura",Cebollas,8
2023-01-05,jueves,"Fruta y verdura","Cebollas dulces",0
2023-01-05,jueves,"Fruta y verdura","Cebollas rojas",4
2023-01-05,jueves,"Fruta y verdura","Cebollas tiernas",28
2023-01-05,jueves,"Fruta y verdura",Cebollino,22
2023-01-05,jueves,"Fruta y verdura",Cereza,33
2023-01-05,jueves,"Fruta y verdura","Champiñón grande",9
2023-01-05,jueves,"Fruta y verdura","Champiñón laminado limpio",5
2023-01-05,jueves,"Fruta y verdura","Champiñón pequeño",28
2023-01-05,jueves,"Fruta y verdura","Champiñón Portobello",6
2023-01-05,jueves,"Fruta y verdura",Cilantro,4
2023-01-05,jueves,"Fruta y verdura","Ciruela roja",9
2023-01-05,jueves,"Fruta y verdura","Cogollos corazón de lechuga",1
2023-01-05,jueves,"Fruta y verdura","Cogollos de lechuga",23
2023-01-05,jueves,"Fruta y verdura","Col lombarda",5
2023-01-05,jueves,"Fruta y verdura",Coliflor,28
2023-01-05,jueves,"Fruta y verdura",Endibias,10
2023-01-05,jueves,"Fruta y verdura","Ensalada California",8
2023-01-05,jueves,"Fruta y verdura","Ensalada César",6
