fecha,dia_semana,categoria,producto,venta_total
2023-01-02,lunes,"Fruta y verdura","1/4 Sandía baja en semillas",14
2023-01-02,lunes,"Fruta y verdura","3 Vegetales para micro",22
2023-01-02,lunes,"Fruta y verdura","Acelgas cortadas",17
2023-01-02,lunes,"Fruta y verdura",Aguacate,10
2023-01-02,lunes,"Fruta y verdura",Aguacates,26
2023-01-02,lunes,"Fruta y verdura","Ajo negro dientes pelados",38
2023-01-02,lunes,"Fruta y verdura","Ajos morados",78
2023-01-02,lunes,"Fruta y verdura",Albahaca,36
2023-01-02,lunes,"Fruta y verdura",Albaricoque,39
2023-01-02,lunes,"Fruta y verdura","Apio verde",32
2023-01-02,lunes,"Fruta y verdura",Arándanos,34
2023-01-02,lunes,"Fruta y verdura",Banana,35
2023-01-02,lunes,"Fruta y verdura",Batata,5
2023-01-02,lunes,"Fruta y verdura","Batata para micro",1
2023-01-02,lunes,"Fruta y verdura",Berenjena,15
2023-01-02,lunes,"Fruta y verdura",Bimi,4
2023-01-02,lunes,"Fruta y verdura",Brócoli,45
2023-01-02,lunes,"Fruta y verdura","Calabacín blanco",19
2023-01-02,lunes,"Fruta y verdura","Calabacín verde",45
2023-01-02,lunes,"Fruta y verdura","Calabaza cacahuete cortada a trozos",6
2023-01-02,lunes,"Fruta y verdura","Canónigos base para ensalada",28
2023-01-02,lunes,"Fruta y verdura",Cebollas,63
2023-01-02,lunes,"Fruta y verdura","Cebollas dulces",32
2023-01-02,lunes,"Fruta y verdura","Cebollas rojas",5
2023-01-02,lunes,"Fruta y verdura","Cebollas tiernas",27
2023-01-02,lunes,"Fruta y verdura",Cebollino,14
2023-01-02,lunes,"Fruta y verdura",Cereza,73
2023-01-02,lunes,"Fruta y verdura","Champiñón grande",45
2023-01-02,lunes,"Fruta y verdura","Champiñón laminado limpio",40
2023-01-02,lunes,"Fruta y verdura","Champiñón pequeño",9
2023-01-02,lunes,"Fruta y verdura","Champiñón Portobello",8
2023-01-02,lunes,"Fruta y verdura",Cilantro,7
2023-01-02,lunes,"Fruta y verdura","Ciruela roja",1
2023-01-02,lunes,"Fruta y verdura","Cogollos corazón de lechuga",21
2023-01-02,lunes,"Fruta y verdura","Cogollos de lechuga",42
2023-01-02,lunes,"Fruta y verdura","Col lombarda",35
2023-01-02,lunes,"Fruta y verdura",Coliflor,40
2023-01-02,lunes,"Fruta y verdura",Endibias,10
2023-01-02,lunes,"Fruta y verdura","Ensalada California",23
2023-01-02,lunes,"Fruta y verdura","Ensalada César",34
2023-01-02,lunes,"Fruta y verdura","Ensalada de la casa",18
2023-01-02,lunes,"Fruta y verdura","Ensalada de pasta",41
2023-01-02,lunes,"Fruta y verdura","Ensalada de pasta Listo para Comer",19
2023-01-02,lunes,"Fruta y verdura","Ensalada ensatún",28
2023-01-02,lunes,"Fruta y verdura","Ensalada jamón",44
2023-01-02,lunes,"Fruta y verdura","Ensalada mezcla 4 estaciones",8
2023-01-02,lunes,"Fruta y verdura","Ensalada mezcla brotes tiernos",42
2023-01-02,lunes,"Fruta y verdura","Ensalada mezcla brotes tiernos maxi",4
2023-01-02,lunes,"Fruta y verdura","Ensalada mezcla dúo canónigos y rúcula",22
2023-01-02,lunes,"Fruta y verdura","Ensalada mezcla fresca",36
2023-01-02,lunes,"Fruta y verdura","Ensalada mezcla gourmet",32
2023-01-02,lunes,"Fruta y verdura","Ensalada mezcla gourmet maxi",18
2023-01-02,lunes,"Fruta y verdura","Ensalada mezcla primavera",41
2023-01-02,lunes,"Fruta y verdura","Ensalada mezcla tierna",16
2023-01-02,lunes,"Fruta y verdura","Ensalada mil islas",42
2023-01-02,lunes,"Fruta y verdura","Ensalada queso de cabra",45
