fecha,dia_semana,categoria,producto,venta_total
2023-01-03,martes,"Fruta y verdura","1/4 Sandía baja en semillas",18
2023-01-03,martes,"Fruta y verdura","3 Vegetales para micro",23
2023-01-03,martes,"Fruta y verdura","Acelgas cortadas",28
2023-01-03,martes,"Fruta y verdura",Aguacate,7
2023-01-03,martes,"Fruta y verdura",Aguacates,17
2023-01-03,martes,"Fruta y verdura","Ajo negro dientes pelados",4
2023-01-03,martes,"Fruta y verdura","Ajos morados",13
2023-01-03,martes,"Fruta y verdura",Albahaca,30
2023-01-03,martes,"Fruta y verdura",Albaricoque,26
2023-01-03,martes,"Fruta y verdura","Apio verde",14
2023-01-03,martes,"Fruta y verdura",Arándanos,26
2023-01-03,martes,"Fruta y verdura",Banana,30
2023-01-03,martes,"Fruta y verdura",Batata,4
2023-01-03,martes,"Fruta y verdura","Batata para micro",22
2023-01-03,martes,"Fruta y verdura",Berenjena,16
2023-01-03,martes,"Fruta y verdura",Bimi,8
2023-01-03,martes,"Fruta y verdura",Brócoli,23
2023-01-03,martes,"Fruta y verdura","Calabacín blanco",17
2023-01-03,martes,"Fruta y verdura","Calabacín verde",17
2023-01-03,martes,"Fruta y verdura","Calabaza cacahuete cortada a trozos",4
2023-01-03,martes,"Fruta y verdura","Canónigos base para ensalada",30
2023-01-03,martes,"Fruta y verdura",Cebollas,49
2023-01-03,martes,"Fruta y verdura","Cebollas dulces",16
2023-01-03,martes,"Fruta y verdura","Cebollas rojas",12
2023-01-03,martes,"Fruta y verdura","Cebollas tiernas",14
2023-01-03,martes,"Fruta y verdura",Cebollino,2
2023-01-03,martes,"Fruta y verdura",Cereza,16
2023-01-03,martes,"Fruta y verdura","Champiñón grande",1
2023-01-03,martes,"Fruta y verdura","Champiñón laminado limpio",8
2023-01-03,martes,"Fruta y verdura","Champiñón pequeño",23
2023-01-03,martes,"Fruta y verdura","Champiñón Portobello",22
2023-01-03,martes,"Fruta y verdura",Cilantro,19
2023-01-03,martes,"Fruta y verdura","Ciruela roja",19
2023-01-03,martes,"Fruta y verdura","Cogollos corazón de lechuga",5
2023-01-03,martes,"Fruta y verdura","Cogollos de lechuga",0
2023-01-03,martes,"Fruta y verdura","Col lombarda",20
2023-01-03,martes,"Fruta y verdura",Coliflor,14
2023-01-03,martes,"Fruta y verdura",Endibias,27
2023-01-03,martes,"Fruta y verdura","Ensalada California",30
2023-01-03,martes,"Fruta y verdura","Ensalada César",13
2023-01-03,martes,"Fruta y verdura","Ensalada de la casa",8
2023-01-03,martes,"Fruta y verdura","Ensalada de pasta",11
2023-01-03,martes,"Fruta y verdura","Ensalada de pasta Listo para Comer",28
2023-01-03,martes,"Fruta y verdura","Ensalada ensatún",16
2023-01-03,martes,"Fruta y verdura","Ensalada jamón",18
2023-01-03,martes,"Fruta y verdura","Ensalada mezcla 4 estaciones",28
2023-01-03,martes,"Fruta y verdura","Ensalada mezcla brotes tiernos",24
2023-01-03,martes,"Fruta y verdura","Ensalada mezcla brotes tiernos maxi",6
2023-01-03,martes,"Fruta y verdura","Ensalada mezcla dúo canónigos y rúcula",29
2023-01-03,martes,"Fruta y verdura","Ensalada mezcla fresca",26
2023-01-03,martes,"Fruta y verdura","Ensalada mezcla gourmet",8
2023-01-03,martes,"Fruta y verdura","Ensalada mezcla gourmet maxi",16
2023-01-03,martes,"Fruta y verdura","Ensalada mezcla primavera",24
2023-01-03,martes,"Fruta y verdura","Ensalada mezcla tierna",8
2023-01-03,martes,"Fruta y verdura","Ensalada mil islas",9
2023-01-03,martes,"Fruta y verdura","Ensalada queso de cabra",12
2023-01-03,martes,"Fruta y verdura","Escarola rizada",13
2023-01-03,martes,"Fruta y verdura","Escarola rizada base para ensalada",0
2023-01-03,martes,"Fruta y verdura","Espárrago verde fino",8
2023-01-03,martes,"Fruta y verdura","Espárrago verde grueso",9
2023-01-03,martes,"Fruta y verdura","Espinaca baby base para ensalada",30
2023-01-03,martes,"Fruta y verdura","Espinacas cortadas",17
2023-01-03,martes,"Fruta y verdura","Floretas de brócoli para micro",3
2023-01-03,martes,"Fruta y verdura",Frambuesas,22
2023-01-03,martes,"Fruta y verdura",Fresas,23
2023-01-03,martes,"Fruta y verdura","Guacamole Hacendado",23
2023-01-03,martes,"Fruta y verdura",Hierbabuena,6
2023-01-03,martes,"Fruta y verdura",Jengibre,10
2023-01-03,martes,"Fruta y verdura","Judía verde plana",23
