fecha,dia_semana,categoria,producto,venta_total
2023-01-04,miércoles,"Fruta y verdura","1/4 Sandía baja en semillas",6
2023-01-04,miércoles,"Fruta y verdura","3 Vegetales para micro",1
2023-01-04,miércoles,"Fruta y verdura","Acelgas cortadas",13
2023-01-04,miércoles,"Fruta y verdura",Aguacate,10
2023-01-04,miércoles,"Fruta y verdura",Aguacates,28
2023-01-04,miércoles,"Fruta y verdura","Ajo negro dientes pelados",35
2023-01-04,miércoles,"Fruta y verdura","Ajos morados",57
2023-01-04,miércoles,"Fruta y verdura",Albahaca,8
2023-01-04,miércoles,"Fruta y verdura",Albaricoque,22
2023-01-04,miércoles,"Fruta y verdura","Apio verde",15
2023-01-04,miércoles,"Fruta y verdura",Arándanos,18
2023-01-04,miércoles,"Fruta y verdura",Banana,6
2023-01-04,miércoles,"Fruta y verdura",Batata,14
2023-01-04,miércoles,"Fruta y verdura","Batata para micro",21
2023-01-04,miércoles,"Fruta y verdura",Berenjena,23
2023-01-04,miércoles,"Fruta y verdura",Bimi,23
2023-01-04,miércoles,"Fruta y verdura",Brócoli,33
2023-01-04,miércoles,"Fruta y verdura","Calabacín blanco",35
2023-01-04,miércoles,"Fruta y verdura","Calabacín verde",15
2023-01-04,miércoles,"Fruta y verdura","Calabaza cacahuete cortada a trozos",25
2023-01-04,miércoles,"Fruta y verdura","Canónigos base para ensalada",1
2023-01-04,miércoles,"Fruta y verdura",Cebollas,52
2023-01-04,miércoles,"Fruta y verdura","Cebollas dulces",13
2023-01-04,miércoles,"Fruta y verdura","Cebollas rojas",0
2023-01-04,miércoles,"Fruta y verdura","Cebollas tiernas",33
2023-01-04,miércoles,"Fruta y verdura",Cebollino,27
2023-01-04,miércoles,"Fruta y verdura",Cereza,51
2023-01-04,miércoles,"Fruta y verdura","Champiñón grande",17
2023-01-04,miércoles,"Fruta y verdura","Champiñón laminado limpio",16
2023-01-04,miércoles,"Fruta y verdura","Champiñón pequeño",9
2023-01-04,miércoles,"Fruta y verdura","Champiñón Portobello",10
2023-01-04,miércoles,"Fruta y verdura",Cilantro,27
2023-01-04,miércoles,"Fruta y verdura","Ciruela roja",13
2023-01-04,miércoles,"Fruta y verdura","Cogollos corazón de lechuga",13
2023-01-04,miércoles,"Fruta y verdura","Cogollos de lechuga",29
2023-01-04,miércoles,"Fruta y verdura","Col lombarda",34
2023-01-04,miércoles,"Fruta y verdura",Coliflor,31
2023-01-04,miércoles,"Fruta y verdura",Endibias,22
2023-01-04,miércoles,"Fruta y verdura","Ensalada California",6
2023-01-04,miércoles,"Fruta y verdura","Ensalada César",3
2023-01-04,miércoles,"Fruta y verdura","Ensalada de la casa",8
2023-01-04,miércoles,"Fruta y verdura","Ensalada de pasta",6
2023-01-04,miércoles,"Fruta y verdura","Ensalada de pasta Listo para Comer",33
2023-01-04,miércoles,"Fruta y verdura","Ensalada ensatún",14
2023-01-04,miércoles,"Fruta y verdura","Ensalada jamón",25
2023-01-04,miércoles,"Fruta y verdura","Ensalada mezcla 4 estaciones",8
2023-01-04,miércoles,"Fruta y verdura","Ensalada mezcla brotes tiernos",14
2023-01-04,miércoles,"Fruta y verdura","Ensalada mezcla brotes tiernos maxi",9
2023-01-04,miércoles,"Fruta y verdura","Ensalada mezcla dúo canónigos y rúcula",23
2023-01-04,miércoles,"Fruta y verdura","Ensalada mezcla fresca",26
2023-01-04,miércoles,"Fruta y verdura","Ensalada mezcla gourmet",30
2023-01-04,miércoles,"Fruta y verdura","Ensalada mezcla gourmet maxi",0
2023-01-04,miércoles,"Fruta y verdura","Ensalada mezcla primavera",18
2023-01-04,miércoles,"Fruta y verdura","Ensalada mezcla tierna",20
2023-01-04,miércoles,"Fruta y verdura","Ensalada mil islas",30
2023-01-04,miércoles,"Fruta y verdura","Ensalada queso de cabra",13
2023-01-04,miércoles,"Fruta y verdura","Escarola rizada",18
2023-01-04,miércoles,"Fruta y verdura","Escarola rizada base para ensalada",35
2023-01-04,miércoles,"Fruta y verdura","Espárrago verde fino",19
2023-01-04,miércoles,"Fruta y verdura","Espárrago verde grueso",25
2023-01-04,miércoles,"Fruta y verdura","Espinaca baby base para ensalada",29
2023-01-04,miércoles,"Fruta y verdura","Espinacas cortadas",22
2023-01-04,miércoles,"Fruta y verdura","Floretas de brócoli para micro",4
2023-01-04,miércoles,"Fruta y verdura",Frambuesas,8
2023-01-04,miércoles,"Fruta y verdura",Fresas,32
2023-01-04,miércoles,"Fruta y verdura","Guacamole Hacendado",36
2023-01-04,miércoles,"Fruta y verdura",Hierbabuena,6
2023-01-04,miércoles,"Fruta y verdura",Jengibre,23
2023-01-04,miércoles,"Fruta y verdura","Judía verde plana",39
2023-01-04,miércoles,"Fruta y verdura","Judía verde redonda",1
2023-01-04,miércoles,"Fruta y verdura","Kiwi verde",16
2023-01-04,miércoles,"Fruta y verdura","Kiwis amarillos",17
