fecha,dia_semana,categoria,producto,venta_total
2023-01-07,sábado,"Fruta y verdura","1/4 Sandía baja en semillas",29
2023-01-07,sábado,"Fruta y verdura","3 Vegetales para micro",41
2023-01-07,sábado,"Fruta y verdura","Acelgas cortadas",43
2023-01-07,sábado,"Fruta y verdura",Aguacate,16
2023-01-07,sábado,"Fruta y verdura",Aguacates,33
2023-01-07,sábado,"Fruta y verdura","Ajo negro dientes pelados",53
2023-01-07,sábado,"Fruta y verdura","Ajos morados",74
2023-01-07,sábado,"Fruta y verdura",Albahaca,10
2023-01-07,sábado,"Fruta y verdura",Albaricoque,29
2023-01-07,sábado,"Fruta y verdura","Apio verde",65
2023-01-07,sábado,"Fruta y verdura",Arándanos,6
2023-01-07,sábado,"Fruta y verdura",Banana,69
2023-01-07,sábado,"Fruta y verdura",Batata,27
2023-01-07,sábado,"Fruta y verdura","Batata para micro",58
2023-01-07,sábado,"Fruta y verdura",Berenjena,59
2023-01-07,sábado,"Fruta y verdura",Bimi,54
2023-01-07,sábado,"Fruta y verdura",Brócoli,37
2023-01-07,sábado,"Fruta y verdura","Calabacín blanco",13
2023-01-07,sábado,"Fruta y verdura","Calabacín verde",58
2023-01-07,sábado,"Fruta y verdura","Calabaza cacahuete cortada a trozos",50
2023-01-07,sábado,"Fruta y verdura","Canónigos base para ensalada",28
2023-01-07,sábado,"Fruta y verdura",Cebollas,80
2023-01-07,sábado,"Fruta y verdura","Cebollas dulces",21
2023-01-07,sábado,"Fruta y verdura","Cebollas rojas",16
2023-01-07,sábado,"Fruta y verdura","Cebollas tiernas",21
2023-01-07,sábado,"Fruta y verdura",Cebollino,26
2023-01-07,sábado,"Fruta y verdura",Cereza,106
2023-01-07,sábado,"Fruta y verdura","Champiñón grande",59
2023-01-07,sábado,"Fruta y verdura","Champiñón laminado limpio",20
2023-01-07,sábado,"Fruta y verdura","Champiñón pequeño",52
2023-01-07,sábado,"Fruta y verdura","Champiñón Portobello",10
2023-01-07,sábado,"Fruta y verdura",Cilantro,46
2023-01-07,sábado,"Fruta y verdura","Ciruela roja",50
2023-01-07,sábado,"Fruta y verdura","Cogollos corazón de lechuga",32
2023-01-07,sábado,"Fruta y verdura","Cogollos de lechuga",57
2023-01-07,sábado,"Fruta y verdura","Col lombarda",47
2023-01-07,sábado,"Fruta y verdura",Coliflor,25
2023-01-07,sábado,"Fruta y verdura",Endibias,30
2023-01-07,sábado,"Fruta y verdura","Ensalada California",24
2023-01-07,sábado,"Fruta y verdura","Ensalada César",7
2023-01-07,sábado,"Fruta y verdura","Ensalada de la casa",16
2023-01-07,sábado,"Fruta y verdura","Ensalada de pasta",15
2023-01-07,sábado,"Fruta y verdura","Ensalada de pasta Listo para Comer",35
2023-01-07,sábado,"Fruta y verdura","Ensalada ensatún",16
2023-01-07,sábado,"Fruta y verdura","Ensalada jamón",48
2023-01-07,sábado,"Fruta y verdura","Ensalada mezcla 4 estaciones",6
2023-01-07,sábado,"Fruta y verdura","Ensalada mezcla brotes tiernos",42
2023-01-07,sábado,"Fruta y verdura","Ensalada mezcla brotes tiernos maxi",30
2023-01-07,sábado,"Fruta y verdura","Ensalada mezcla dúo canónigos y rúcula",68
2023-01-07,sábado,"Fruta y verdura","Ensalada mezcla fresca",29
2023-01-07,sábado,"Fruta y verdura","Ensalada mezcla gourmet",20
2023-01-07,sábado,"Fruta y verdura","Ensalada mezcla gourmet maxi",38
2023-01-07,sábado,"Fruta y verdura","Ensalada mezcla primavera",64
2023-01-07,sábado,"Fruta y verdura","Ensalada mezcla tierna",65
2023-01-07,sábado,"Fruta y verdura","Ensalada mil islas",42
2023-01-07,sábado,"Fruta y verdura","Ensalada queso de cabra",8
2023-01-07,sábado,"Fruta y verdura","Escarola rizada",54
2023-01-07,sábado,"Fruta y verdura","Escarola rizada base para ensalada",28
2023-01-07,sábado,"Fruta y verdura","Espárrago verde fino",46
2023-01-07,sábado,"Fruta y verdura","Espárrago verde grueso",59
2023-01-07,sábado,"Fruta y verdura","Espinaca baby base para ensalada",58
2023-01-07,sábado,"Fruta y verdura","Espinacas cortadas",17
2023-01-07,sábado,"Fruta y verdura","Floretas de brócoli para micro",39
2023-01-07,sábado,"Fruta y verdura",Frambuesas,57
2023-01-07,sábado,"Fruta y verdura",Fresas,34
2023-01-07,sábado,"Fruta y verdura","Guacamole Hacendado",79
2023-01-07,sábado,"Fruta y verdura",Hierbabuena,23
2023-01-07,sábado,"Fruta y verdura",Jengibre,52
2023-01-07,sábado,"Fruta y verdura","Judía verde plana",81
2023-01-07,sábado,"Fruta y verdura","Judía verde redonda",33
2023-01-07,sábado,"Fruta y verdura","Kiwi verde",29
2023-01-07,sábado,"Fruta y verdura","Kiwis amarillos",31
2023-01-07,sábado,"Fruta y verdura","Kiwis verdes",37
2023-01-07,sábado,"Fruta y verdura","Lechuga corazón romana",45
2023-01-07,sábado,"Fruta y verdura","Lechuga hoja roble",29
2023-01-07,sábado,"Fruta y verdura","Lechuga iceberg",32
2023-01-07,sábado,"Fruta y verdura","Lechuga iceberg base para ensalada",15
2023-01-07,sábado,"Fruta y verdura","Lechuga romana cortada",55
2023-01-07,sábado,"Fruta y verdura","Lechugas corazón romana",15
2023-01-07,sábado,"Fruta y verdura",Limas,45
2023-01-07,sábado,"Fruta y verdura",Limón,38
2023-01-07,sábado,"Fruta y verdura",Limones,12
2023-01-07,sábado,"Fruta y verdura","Maíz dulce en mazorca",70
2023-01-07,sábado,"Fruta y verdura","Maíz dulce en mazorca cocido",62
2023-01-07,sábado,"Fruta y verdura",Mango,61
2023-01-07,sábado,"Fruta y verdura","Manzana Crimson Snow",42
2023-01-07,sábado,"Fruta y verdura","Manzana Golden",38
2023-01-07,sábado,"Fruta y verdura","Manzana Granny Smith",6
2023-01-07,sábado,"Fruta y verdura","Manzana Story",70
2023-01-07,sábado,"Fruta y verdura","Manzanas Crimson Snow",10
2023-01-07,sábado,"Fruta y verdura","Manzanas Golden",20
2023-01-07,sábado,"Fruta y verdura","Media col lombarda",57
2023-01-07,sábado,"Fruta y verdura","Media papaya",56
2023-01-07,sábado,"Fruta y verdura","Media piña",56
2023-01-07,sábado,"Fruta y verdura","Media sandía baja en semillas",65
2023-01-07,sábado,"Fruta y verdura","Medio melón piel de sapo",10
2023-01-07,sábado,"Fruta y verdura","Medio repollo liso",12
2023-01-07,sábado,"Fruta y verdura","Medio repollo rizado",45
2023-01-07,sábado,"Fruta y verdura","Melón piel de sapo",19
2023-01-07,sábado,"Fruta y verdura","Mix de verduras jardinera para micro",24
2023-01-07,sábado,"Fruta y verdura","Mix de verduras paisana para micro",52
2023-01-07,sábado,"Fruta y verdura",Moras,51
2023-01-07,sábado,"Fruta y verdura","Naranja para mesa",28
2023-01-07,sábado,"Fruta y verdura",Naranjas,57
2023-01-07,sábado,"Fruta y verdura","Nectarina pulpa blanca",47
2023-01-07,sábado,"Fruta y verdura","Palitos de zanahoria",43
2023-01-07,sábado,"Fruta y verdura",Papaya,15
2023-01-07,sábado,"Fruta y verdura",Paraguayo,28
2023-01-07,sábado,"Fruta y verdura",Patata,63
2023-01-07,sábado,"Fruta y verdura","Patata para micro",12
2023-01-07,sábado,"Fruta y verdura",Patatas,90
2023-01-07,sábado,"Fruta y verdura","Patatas especial para freir",20
2023-01-07,sábado,"Fruta y verdura","Patatas guarnición",69
2023-01-07,sábado,"Fruta y verdura","Patatas rojas",19
2023-01-07,sábado,"Fruta y verdura",Pepino,66
2023-01-07,sábado,"Fruta y verdura","Pepino holandés",22
2023-01-07,sábado,"Fruta y verdura",Pepinos,61
2023-01-07,sábado,"Fruta y verdura","Pera Conferencia",40
2023-01-07,sábado,"Fruta y verdura","Pera Ercolina",10
2023-01-07,sábado,"Fruta y verdura","Peras Conferencia",64
2023-01-07,sábado,"Fruta y verdura","Perejil troceado",55
2023-01-07,sábado,"Fruta y verdura","Picada de ajo y Perejil",31
2023-01-07,sábado,"Fruta y verdura","Pimiento rojo",57
2023-01-07,sábado,"Fruta y verdura","Pimiento verde",37
2023-01-07,sábado,"Fruta y verdura","Pimiento verde freír",9
2023-01-07,sábado,"Fruta y verdura","Pimientos rojos picantes",57
2023-01-07,sábado,"Fruta y verdura","Pimientos semipicantes",17
2023-01-07,sábado,"Fruta y verdura","Pimientos tricolor rojo, amarillo y verde",6
2023-01-07,sábado,"Fruta y verdura",Piña,61
2023-01-07,sábado,"Fruta y verdura","Piña natural a rodajas",20
2023-01-07,sábado,"Fruta y verdura","Plátano de Canarias",34
