fecha,dia_semana,categoria,producto,venta_total
2023-01-13,viernes,"Fruta y verdura","1/4 Sandía baja en semillas",9
2023-01-13,viernes,"Fruta y verdura","3 Vegetales para micro",28
2023-01-13,viernes,"Fruta y verdura","Acelgas cortadas",17
2023-01-13,viernes,"Fruta y verdura",Aguacate,43
2023-01-13,viernes,"Fruta y verdura",Aguacates,40
2023-01-13,viernes,"Fruta y verdura","Ajo negro dientes pelados",39
2023-01-13,viernes,"Fruta y verdura","Ajos morados",75
2023-01-13,viernes,"Fruta y verdura",Albahaca,50
2023-01-13,viernes,"Fruta y verdura",Albaricoque,27
2023-01-13,viernes,"Fruta y verdura","Apio verde",20
2023-01-13,viernes,"Fruta y verdura",Arándanos,9
2023-01-13,viernes,"Fruta y verdura",Banana,17
2023-01-13,viernes,"Fruta y verdura",Batata,17
2023-01-13,viernes,"Fruta y verdura","Batata para micro",34
2023-01-13,viernes,"Fruta y verdura",Berenjena,11
2023-01-13,viernes,"Fruta y verdura",Bimi,48
2023-01-13,viernes,"Fruta y verdura",Brócoli,44
2023-01-13,viernes,"Fruta y verdura","Calabacín blanco",9
2023-01-13,viernes,"Fruta y verdura","Calabacín verde",8
2023-01-13,viernes,"Fruta y verdura","Calabaza cacahuete cortada a trozos",40
2023-01-13,viernes,"Fruta y verdura","Canónigos base para ensalada",50
2023-01-13,viernes,"Fruta y verdura",Cebollas,56
2023-01-13,viernes,"Fruta y verdura","Cebollas dulces",15
2023-01-13,viernes,"Fruta y verdura","Cebollas rojas",30
2023-01-13,viernes,"Fruta y verdura","Cebollas tiernas",34
2023-01-13,viernes,"Fruta y verdura",Cebollino,20
2023-01-13,viernes,"Fruta y verdura",Cereza,78
2023-01-13,viernes,"Fruta y verdura","Champiñón grande",45
2023-01-13,viernes,"Fruta y verdura","Champiñón laminado limpio",12
2023-01-13,viernes,"Fruta y verdura","Champiñón pequeño",46
2023-01-13,viernes,"Fruta y verdura","Champiñón Portobello",22
2023-01-13,viernes,"Fruta y verdura",Cilantro,20
2023-01-13,viernes,"Fruta y verdura","Ciruela roja",34
2023-01-13,viernes,"Fruta y verdura","Cogollos corazón de lechuga",27
2023-01-13,viernes,"Fruta y verdura","Cogollos de lechuga",38
2023-01-13,viernes,"Fruta y verdura","Col lombarda",37
2023-01-13,viernes,"Fruta y verdura",Coliflor,22
2023-01-13,viernes,"Fruta y verdura",Endibias,10
2023-01-13,viernes,"Fruta y verdura","Ensalada California",50
2023-01-13,viernes,"Fruta y verdura","Ensalada César",7
2023-01-13,viernes,"Fruta y verdura","Ensalada de la casa",38
2023-01-13,viernes,"Fruta y verdura","Ensalada de pasta",27
2023-01-13,viernes,"Fruta y verdura","Ensalada de pasta Listo para Comer",28
2023-01-13,viernes,"Fruta y verdura","Ensalada ensatún",34
2023-01-13,viernes,"Fruta y verdura","Ensalada jamón",19
2023-01-13,viernes,"Fruta y verdura","Ensalada mezcla 4 estaciones",16
2023-01-13,viernes,"Fruta y verdura","Ensalada mezcla brotes tiernos",27
2023-01-13,viernes,"Fruta y verdura","Ensalada mezcla brotes tiernos maxi",28
2023-01-13,viernes,"Fruta y verdura","Ensalada mezcla dúo canónigos y rúcula",30
2023-01-13,viernes,"Fruta y verdura","Ensalada mezcla fresca",10
2023-01-13,viernes,"Fruta y verdura","Ensalada mezcla gourmet",47
2023-01-13,viernes,"Fruta y verdura","Ensalada mezcla gourmet maxi",21
2023-01-13,viernes,"Fruta y verdura","Ensalada mezcla primavera",27
2023-01-13,viernes,"Fruta y verdura","Ensalada mezcla tierna",35
2023-01-13,viernes,"Fruta y verdura","Ensalada mil islas",48
2023-01-13,viernes,"Fruta y verdura","Ensalada queso de cabra",44
2023-01-13,viernes,"Fruta y verdura","Escarola rizada",16
