fecha,dia,subcategoria,venta_total
2023-01-02,lunes,"Lechuga y ensalada preparada",755
2023-01-03,martes,"Lechuga y ensalada preparada",446
2023-01-04,miércoles,"Lechuga y ensalada preparada",559
2023-01-05,jueves,"Lechuga y ensalada preparada",553
2023-01-07,sábado,"Lechuga y ensalada preparada",1112
2023-01-09,lunes,"Lechuga y ensalada preparada",735
2023-01-10,martes,"Lechuga y ensalada preparada",431
2023-01-11,miércoles,"Lechuga y ensalada preparada",460
2023-01-12,jueves,"Lechuga y ensalada preparada",480
2023-01-13,viernes,"Lechuga y ensalada preparada",738
2023-01-14,sábado,"Lechuga y ensalada preparada",951
2023-01-16,lunes,"Lechuga y ensalada preparada",567
2023-01-17,martes,"Lechuga y ensalada preparada",544
2023-01-18,miércoles,"Lechuga y ensalada preparada",650
2023-01-19,jueves,"Lechuga y ensalada preparada",563
2023-01-20,viernes,"Lechuga y ensalada preparada",878
2023-01-21,sábado,"Lechuga y ensalada preparada",1101
2023-01-23,lunes,"Lechuga y ensalada preparada",579
2023-01-24,martes,"Lechuga y ensalada preparada",586
2023-01-25,miércoles,"Lechuga y ensalada preparada",503
2023-01-26,jueves,"Lechuga y ensalada preparada",435
2023-01-27,viernes,"Lechuga y ensalada preparada",719
2023-01-28,sábado,"Lechuga y ensalada preparada",1171
2023-01-30,lunes,"Lechuga y ensalada preparada",732
2023-01-31,martes,"Lechuga y ensalada preparada",495
2023-02-01,miércoles,"Lechuga y ensalada preparada",482
2023-02-02,jueves,"Lechuga y ensalada preparada",552
2023-02-03,viernes,"Lechuga y ensalada preparada",864
2023-02-04,sábado,"Lechuga y ensalada preparada",1145
2023-02-06,lunes,"Lechuga y ensalada preparada",688
2023-02-07,martes,"Lechuga y ensalada preparada",520
2023-02-08,miércoles,"Lechuga y ensalada preparada",551
2023-02-09,jueves,"Lechuga y ensalada preparada",460
2023-02-10,viernes,"Lechuga y ensalada preparada",817
2023-02-11,sábado,"Lechuga y ensalada preparada",1044
2023-02-13,lunes,"Lechuga y ensalada preparada",597
2023-02-14,martes,"Lechuga y ensalada preparada",512
2023-02-15,miércoles,"Lechuga y ensalada preparada",638
2023-02-16,jueves,"Lechuga y ensalada preparada",528
2023-02-17,viernes,"Lechuga y ensalada preparada",818
2023-02-18,sábado,"Lechuga y ensalada preparada",856
2023-02-20,lunes,"Lechuga y ensalada preparada",697
2023-02-21,martes,"Lechuga y ensalada preparada",559
2023-02-22,miércoles,"Lechuga y ensalada preparada",600
2023-02-23,jueves,"Lechuga y ensalada preparada",460
2023-02-24,viernes,"Lechuga y ensalada preparada",968
2023-02-25,sábado,"Lechuga y ensalada preparada",973
2023-02-27,lunes,"Lechuga y ensalada preparada",722
2023-02-28,martes,"Lechuga y ensalada preparada",492
2023-03-01,miércoles,"Lechuga y ensalada preparada",596
2023-03-02,jueves,"Lechuga y ensalada preparada",517
2023-03-03,viernes,"Lechuga y ensalada preparada",916
2023-03-04,sábado,"Lechuga y ensalada preparada",1060
2023-03-06,lunes,"Lechuga y ensalada preparada",646
2023-03-07,martes,"Lechuga y ensalada preparada",437
2023-03-08,miércoles,"Lechuga y ensalada preparada",624
2023-03-09,jueves,"Lechuga y ensalada preparada",459
2023-03-10,viernes,"Lechuga y ensalada preparada",788
2023-03-11,sábado,"Lechuga y ensalada preparada",1050
2023-03-13,lunes,"Lechuga y ensalada preparada",705
2023-03-14,martes,"Lechuga y ensalada preparada",527
2023-03-15,miércoles,"Lechuga y ensalada preparada",601
2023-03-16,jueves,"Lechuga y ensalada preparada",497
2023-03-17,viernes,"Lechuga y ensalada preparada",784
2023-03-18,sábado,"Lechuga y ensalada preparada",1015
2023-03-20,lunes,"Lechuga y ensalada preparada",574
2023-03-21,martes,"Lechuga y ensalada preparada",431
2023-03-22,miércoles,"Lechuga y ensalada preparada",539
2023-03-23,jueves,"Lechuga y ensalada preparada",471
2023-03-24,viernes,"Lechuga y ensalada preparada",823
2023-03-25,sábado,"Lechuga y ensalada preparada",1018
2023-03-27,lunes,"Lechuga y ensalada preparada",698
2023-03-28,martes,"Lechuga y ensalada preparada",524
2023-03-29,miércoles,"Lechuga y ensalada preparada",589
2023-03-30,jueves,"Lechuga y ensalada preparada",487
2023-03-31,viernes,"Lechuga y ensalada preparada",769
2023-04-01,sábado,"Lechuga y ensalada preparada",1001
2023-04-03,lunes,"Lechuga y ensalada preparada",644
2023-04-04,martes,"Lechuga y ensalada preparada",544
2023-04-05,miércoles,"Lechuga y ensalada preparada",480
2023-04-08,sábado,"Lechuga y ensalada preparada",1051
2023-04-10,lunes,"Lechuga y ensalada preparada",678
2023-04-11,martes,"Lechuga y ensalada preparada",503
2023-04-12,miércoles,"Lechuga y ensalada preparada",654
2023-04-13,jueves,"Lechuga y ensalada preparada",539
2023-04-14,viernes,"Lechuga y ensalada preparada",914
2023-04-15,sábado,"Lechuga y ensalada preparada",1016
2023-04-17,lunes,"Lechuga y ensalada preparada",779
2023-04-18,martes,"Lechuga y ensalada preparada",357
2023-04-19,miércoles,"Lechuga y ensalada preparada",558
2023-04-20,jueves,"Lechuga y ensalada preparada",482
2023-04-21,viernes,"Lechuga y ensalada preparada",886
2023-04-22,sábado,"Lechuga y ensalada preparada",1058
2023-04-24,lunes,"Lechuga y ensalada preparada",757
2023-04-25,martes,"Lechuga y ensalada preparada",509
2023-04-26,miércoles,"Lechuga y ensalada preparada",562
2023-04-27,jueves,"Lechuga y ensalada preparada",480
2023-04-28,viernes,"Lechuga y ensalada preparada",877
2023-04-29,sábado,"Lechuga y ensalada preparada",960
2023-05-02,martes,"Lechuga y ensalada preparada",515
2023-05-03,miércoles,"Lechuga y ensalada preparada",586
