fecha,dia,subcategoria,venta_total
2023-01-02,lunes,Fruta,1111
2023-01-03,martes,Fruta,755
2023-01-04,miércoles,Fruta,772
2023-01-05,jueves,Fruta,752
2023-01-07,sábado,Fruta,1585
2023-01-09,lunes,Fruta,1031
2023-01-10,martes,Fruta,833
2023-01-11,miércoles,Fruta,944
2023-01-12,jueves,Fruta,814
2023-01-13,viernes,Fruta,1089
2023-01-14,sábado,Fruta,1777
2023-01-16,lunes,Fruta,946
2023-01-17,martes,Fruta,717
2023-01-18,miércoles,Fruta,785
2023-01-19,jueves,Fruta,695
2023-01-20,viernes,Fruta,1148
2023-01-21,sábado,Fruta,1613
2023-01-23,lunes,Fruta,1158
2023-01-24,martes,Fruta,713
2023-01-25,miércoles,Fruta,925
2023-01-26,jueves,Fruta,674
2023-01-27,viernes,Fruta,1145
2023-01-28,sábado,Fruta,1454
2023-01-30,lunes,Fruta,913
2023-01-31,martes,Fruta,727
2023-02-01,miércoles,Fruta,817
2023-02-02,jueves,Fruta,709
2023-02-03,viernes,Fruta,1159
2023-02-04,sábado,Fruta,1624
2023-02-06,lunes,Fruta,1008
2023-02-07,martes,Fruta,713
2023-02-08,miércoles,Fruta,778
2023-02-09,jueves,Fruta,845
2023-02-10,viernes,Fruta,1199
2023-02-11,sábado,Fruta,1551
2023-02-13,lunes,Fruta,1096
2023-02-14,martes,Fruta,813
2023-02-15,miércoles,Fruta,838
2023-02-16,jueves,Fruta,755
2023-02-17,viernes,Fruta,1338
2023-02-18,sábado,Fruta,1635
2023-02-20,lunes,Fruta,1097
2023-02-21,martes,Fruta,766
2023-02-22,miércoles,Fruta,929
2023-02-23,jueves,Fruta,633
2023-02-24,viernes,Fruta,1203
2023-02-25,sábado,Fruta,1510
2023-02-27,lunes,Fruta,1058
2023-02-28,martes,Fruta,787
2023-03-01,miércoles,Fruta,867
2023-03-02,jueves,Fruta,723
2023-03-03,viernes,Fruta,1446
2023-03-04,sábado,Fruta,1623
2023-03-06,lunes,Fruta,1113
2023-03-07,martes,Fruta,661
2023-03-08,miércoles,Fruta,887
2023-03-09,jueves,Fruta,718
2023-03-10,viernes,Fruta,1116
2023-03-11,sábado,Fruta,1650
2023-03-13,lunes,Fruta,1065
2023-03-14,martes,Fruta,727
2023-03-15,miércoles,Fruta,827
2023-03-16,jueves,Fruta,712
2023-03-17,viernes,Fruta,1173
2023-03-18,sábado,Fruta,1545
2023-03-20,lunes,Fruta,1077
2023-03-21,martes,Fruta,760
2023-03-22,miércoles,Fruta,899
2023-03-23,jueves,Fruta,779
2023-03-24,viernes,Fruta,1342
2023-03-25,sábado,Fruta,1739
2023-03-27,lunes,Fruta,1172
2023-03-28,martes,Fruta,856
2023-03-29,miércoles,Fruta,807
2023-03-30,jueves,Fruta,667
2023-03-31,viernes,Fruta,1242
2023-04-01,sábado,Fruta,1631
2023-04-03,lunes,Fruta,997
2023-04-04,martes,Fruta,771
2023-04-05,miércoles,Fruta,751
2023-04-08,sábado,Fruta,1503
2023-04-10,lunes,Fruta,1107
2023-04-11,martes,Fruta,820
2023-04-12,miércoles,Fruta,782
2023-04-13,jueves,Fruta,790
2023-04-14,viernes,Fruta,1313
2023-04-15,sábado,Fruta,1435
2023-04-17,lunes,Fruta,874
2023-04-18,martes,Fruta,713
2023-04-19,miércoles,Fruta,987
2023-04-20,jueves,Fruta,792
2023-04-21,viernes,Fruta,1199
2023-04-22,sábado,Fruta,1664
2023-04-24,lunes,Fruta,891
2023-04-25,martes,Fruta,614
2023-04-26,miércoles,Fruta,913
2023-04-27,jueves,Fruta,733
2023-04-28,viernes,Fruta,1106
2023-04-29,sábado,Fruta,1548
2023-05-02,martes,Fruta,701
2023-05-03,miércoles,Fruta,856
2023-05-04,jueves,Fruta,749
2023-05-05,viernes,Fruta,1209
2023-05-06,sábado,Fruta,1546
2023-05-08,lunes,Fruta,934
2023-05-09,martes,Fruta,757
2023-05-10,miércoles,Fruta,910
2023-05-11,jueves,Fruta,709
2023-05-12,viernes,Fruta,1244
2023-05-13,sábado,Fruta,1810
2023-05-15,lunes,Fruta,1027
2023-05-16,martes,Fruta,702
2023-05-17,miércoles,Fruta,914
2023-05-18,jueves,Fruta,772
2023-05-19,viernes,Fruta,1113
2023-05-20,sábado,Fruta,1683
2023-05-22,lunes,Fruta,853
2023-05-23,martes,Fruta,650
2023-05-24,miércoles,Fruta,816
2023-05-25,jueves,Fruta,690
2023-05-26,viernes,Fruta,1271
2023-05-27,sábado,Fruta,1516
2023-05-29,lunes,Fruta,1059
2023-05-30,martes,Fruta,730
2023-05-31,miércoles,Fruta,859
