fecha,dia_semana,subcategoria,venta_total
2023-01-02,lunes,Verdura,2100
2023-01-02,lunes,"Lechuga y ensalada preparada",961
2023-01-02,lunes,Fruta,1072
2023-01-03,martes,Verdura,1283
2023-01-03,martes,"Lechuga y ensalada preparada",536
2023-01-03,martes,Fruta,839
2023-01-04,miércoles,Verdura,1727
2023-01-04,miércoles,"Lechuga y ensalada preparada",563
2023-01-04,miércoles,Fruta,945
2023-01-05,jueves,Verdura,1222
2023-01-05,jueves,"Lechuga y ensalada preparada",481
2023-01-05,jueves,Fruta,777
2023-01-07,sábado,Verdura,3502
2023-01-07,sábado,"Lechuga y ensalada preparada",1097
2023-01-07,sábado,Fruta,1761
2023-01-09,lunes,Verdura,2159
2023-01-09,lunes,"Lechuga y ensalada preparada",799
2023-01-09,lunes,Fruta,1072
2023-01-10,martes,Verdura,1378
2023-01-10,martes,"Lechuga y ensalada preparada",469
2023-01-10,martes,Fruta,699
2023-01-11,miércoles,Verdura,1731
2023-01-11,miércoles,"Lechuga y ensalada preparada",642
2023-01-11,miércoles,Fruta,877
2023-01-12,jueves,Verdura,1492
2023-01-12,jueves,"Lechuga y ensalada preparada",498
2023-01-12,jueves,Fruta,639
2023-01-13,viernes,Verdura,2401
2023-01-13,viernes,"Lechuga y ensalada preparada",969
2023-01-13,viernes,Fruta,1287
2023-01-14,sábado,Verdura,3518
2023-01-14,sábado,"Lechuga y ensalada preparada",1239
2023-01-14,sábado,Fruta,1863
2023-01-16,lunes,Verdura,2235
2023-01-16,lunes,"Lechuga y ensalada preparada",822
2023-01-16,lunes,Fruta,993
2023-01-17,martes,Verdura,1364
2023-01-17,martes,"Lechuga y ensalada preparada",414
2023-01-17,martes,Fruta,779
2023-01-18,miércoles,Verdura,1411
2023-01-18,miércoles,"Lechuga y ensalada preparada",536
2023-01-18,miércoles,Fruta,1018
2023-01-19,jueves,Verdura,1428
2023-01-19,jueves,"Lechuga y ensalada preparada",490
2023-01-19,jueves,Fruta,755
2023-01-20,viernes,Verdura,2520
2023-01-20,viernes,"Lechuga y ensalada preparada",794
2023-01-20,viernes,Fruta,1367
2023-01-21,sábado,Verdura,3392
2023-01-21,sábado,"Lechuga y ensalada preparada",1373
2023-01-21,sábado,Fruta,1988
2023-01-23,lunes,Verdura,2134
2023-01-23,lunes,"Lechuga y ensalada preparada",771
2023-01-23,lunes,Fruta,1063
2023-01-24,martes,Verdura,1368
2023-01-24,martes,"Lechuga y ensalada preparada",490
2023-01-24,martes,Fruta,897
2023-01-25,miércoles,Verdura,1746
2023-01-25,miércoles,"Lechuga y ensalada preparada",606
2023-01-25,miércoles,Fruta,849
2023-01-26,jueves,Verdura,1339
2023-01-26,jueves,"Lechuga y ensalada preparada",490
2023-01-26,jueves,Fruta,616
2023-01-27,viernes,Verdura,2519
2023-01-27,viernes,"Lechuga y ensalada preparada",897
2023-01-27,viernes,Fruta,1529
2023-01-28,sábado,Verdura,3571
2023-01-28,sábado,"Lechuga y ensalada preparada",1223
2023-01-28,sábado,Fruta,1980
2023-01-30,lunes,Verdura,1983
2023-01-30,lunes,"Lechuga y ensalada preparada",750
2023-01-30,lunes,Fruta,1075
2023-01-31,martes,Verdura,1369
2023-01-31,martes,"Lechuga y ensalada preparada",516
2023-01-31,martes,Fruta,720
2023-02-01,miércoles,Verdura,1508
2023-02-01,miércoles,"Lechuga y ensalada preparada",514
2023-02-01,miércoles,Fruta,794
2023-02-02,jueves,Verdura,1345
2023-02-02,jueves,"Lechuga y ensalada preparada",506
2023-02-02,jueves,Fruta,697
2023-02-03,viernes,Verdura,2566
2023-02-03,viernes,"Lechuga y ensalada preparada",857
2023-02-03,viernes,Fruta,1346
2023-02-04,sábado,Verdura,3441
2023-02-04,sábado,"Lechuga y ensalada preparada",1072
2023-02-04,sábado,Fruta,1806
2023-02-06,lunes,Verdura,2015
2023-02-06,lunes,"Lechuga y ensalada preparada",831
2023-02-06,lunes,Fruta,1256
2023-02-07,martes,Verdura,1515
2023-02-07,martes,"Lechuga y ensalada preparada",546
2023-02-07,martes,Fruta,733
2023-02-08,miércoles,Verdura,1533
2023-02-08,miércoles,"Lechuga y ensalada preparada",604
2023-02-08,miércoles,Fruta,882
2023-02-09,jueves,Verdura,1286
2023-02-09,jueves,"Lechuga y ensalada preparada",477
2023-02-09,jueves,Fruta,624
2023-02-10,viernes,Verdura,2469
2023-02-10,viernes,"Lechuga y ensalada preparada",901
2023-02-10,viernes,Fruta,1268
2023-02-11,sábado,Verdura,3307
2023-02-11,sábado,"Lechuga y ensalada preparada",1298
2023-02-11,sábado,Fruta,1781
2023-02-13,lunes,Verdura,2197
2023-02-13,lunes,"Lechuga y ensalada preparada",637
2023-02-13,lunes,Fruta,1052
2023-02-14,martes,Verdura,1423
2023-02-14,martes,"Lechuga y ensalada preparada",505
2023-02-14,martes,Fruta,718
2023-02-15,miércoles,Verdura,1517
2023-02-15,miércoles,"Lechuga y ensalada preparada",576
2023-02-15,miércoles,Fruta,1019
2023-02-16,jueves,Verdura,1366
2023-02-16,jueves,"Lechuga y ensalada preparada",396
2023-02-16,jueves,Fruta,854
2023-02-17,viernes,Verdura,2596
2023-02-17,viernes,"Lechuga y ensalada preparada",1135
2023-02-17,viernes,Fruta,1445
2023-02-18,sábado,Verdura,3368
2023-02-18,sábado,"Lechuga y ensalada preparada",1161
2023-02-18,sábado,Fruta,2023
2023-02-20,lunes,Verdura,2117
2023-02-20,lunes,"Lechuga y ensalada preparada",661
2023-02-20,lunes,Fruta,994
2023-02-21,martes,Verdura,1266
2023-02-21,martes,"Lechuga y ensalada preparada",540
2023-02-21,martes,Fruta,729
2023-02-22,miércoles,Verdura,1717
2023-02-22,miércoles,"Lechuga y ensalada preparada",672
2023-02-22,miércoles,Fruta,756
2023-02-23,jueves,Verdura,1400
2023-02-23,jueves,"Lechuga y ensalada preparada",529
2023-02-23,jueves,Fruta,614
2023-02-24,viernes,Verdura,2321
2023-02-24,viernes,"Lechuga y ensalada preparada",915
2023-02-24,viernes,Fruta,1184
2023-02-25,sábado,Verdura,3590
2023-02-25,sábado,"Lechuga y ensalada preparada",1434
2023-02-25,sábado,Fruta,1829
2023-02-27,lunes,Verdura,1978
2023-02-27,lunes,"Lechuga y ensalada preparada",794
2023-02-27,lunes,Fruta,1140
2023-02-28,martes,Verdura,1316
2023-02-28,martes,"Lechuga y ensalada preparada",591
2023-02-28,martes,Fruta,697
2023-03-01,miércoles,Verdura,1599
2023-03-01,miércoles,"Lechuga y ensalada preparada",602
2023-03-01,miércoles,Fruta,916
2023-03-02,jueves,Verdura,1482
2023-03-02,jueves,"Lechuga y ensalada preparada",519
2023-03-02,jueves,Fruta,686
2023-03-03,viernes,Verdura,2601
2023-03-03,viernes,"Lechuga y ensalada preparada",1067
2023-03-03,viernes,Fruta,1293
