fecha,dia_semana,subcategoria,venta_total
2023-01-05,jueves,Verdura,1222
2023-01-05,jueves,"Lechuga y ensalada preparada",481
2023-01-05,jueves,Fruta,777
2023-01-12,jueves,Verdura,1492
2023-01-12,jueves,"Lechuga y ensalada preparada",498
2023-01-12,jueves,Fruta,639
2023-01-19,jueves,Verdura,1428
2023-01-19,jueves,"Lechuga y ensalada preparada",490
2023-01-19,jueves,Fruta,755
2023-01-26,jueves,Verdura,1339
2023-01-26,jueves,"Lechuga y ensalada preparada",490
2023-01-26,jueves,Fruta,616
2023-02-02,jueves,Verdura,1345
2023-02-02,jueves,"Lechuga y ensalada preparada",506
2023-02-02,jueves,Fruta,697
2023-02-09,jueves,Verdura,1286
2023-02-09,jueves,"Lechuga y ensalada preparada",477
2023-02-09,jueves,Fruta,624
2023-02-16,jueves,Verdura,1366
2023-02-16,jueves,"Lechuga y ensalada preparada",396
2023-02-16,jueves,Fruta,854
2023-02-23,jueves,Verdura,1400
2023-02-23,jueves,"Lechuga y ensalada preparada",529
2023-02-23,jueves,Fruta,614
2023-03-02,jueves,Verdura,1482
2023-03-02,jueves,"Lechuga y ensalada preparada",519
2023-03-02,jueves,Fruta,686
2023-03-09,jueves,Verdura,1295
2023-03-09,jueves,"Lechuga y ensalada preparada",547
2023-03-09,jueves,Fruta,719
2023-03-16,jueves,Verdura,1369
2023-03-16,jueves,"Lechuga y ensalada preparada",553
2023-03-16,jueves,Fruta,753
2023-03-23,jueves,Verdura,1279
2023-03-23,jueves,"Lechuga y ensalada preparada",520
2023-03-23,jueves,Fruta,807
2023-03-30,jueves,Verdura,1429
2023-03-30,jueves,"Lechuga y ensalada preparada",466
2023-03-30,jueves,Fruta,849
2023-04-13,jueves,Verdura,1378
2023-04-13,jueves,"Lechuga y ensalada preparada",486
2023-04-13,jueves,Fruta,781
2023-04-20,jueves,Verdura,1399
2023-04-20,jueves,"Lechuga y ensalada preparada",412
2023-04-20,jueves,Fruta,693
2023-04-27,jueves,Verdura,1554
2023-04-27,jueves,"Lechuga y ensalada preparada",544
2023-04-27,jueves,Fruta,714
2023-05-04,jueves,Verdura,1443
2023-05-04,jueves,"Lechuga y ensalada preparada",488
2023-05-04,jueves,Fruta,691
2023-05-11,jueves,Verdura,1471
2023-05-11,jueves,"Lechuga y ensalada preparada",427
2023-05-11,jueves,Fruta,939
2023-05-18,jueves,Verdura,1593
2023-05-18,jueves,"Lechuga y ensalada preparada",504
2023-05-18,jueves,Fruta,824
2023-05-25,jueves,Verdura,1454
2023-05-25,jueves,"Lechuga y ensalada preparada",488
2023-05-25,jueves,Fruta,650
