fecha,dia_semana,subcategoria,venta_total
2023-01-03,martes,Verdura,1283
2023-01-03,martes,"Lechuga y ensalada preparada",536
2023-01-03,martes,Fruta,839
2023-01-10,martes,Verdura,1378
2023-01-10,martes,"Lechuga y ensalada preparada",469
2023-01-10,martes,Fruta,699
2023-01-17,martes,Verdura,1364
2023-01-17,martes,"Lechuga y ensalada preparada",414
2023-01-17,martes,Fruta,779
2023-01-24,martes,Verdura,1368
2023-01-24,martes,"Lechuga y ensalada preparada",490
2023-01-24,martes,Fruta,897
2023-01-31,martes,Verdura,1369
2023-01-31,martes,"Lechuga y ensalada preparada",516
2023-01-31,martes,Fruta,720
2023-02-07,martes,Verdura,1515
2023-02-07,martes,"Lechuga y ensalada preparada",546
2023-02-07,martes,Fruta,733
2023-02-14,martes,Verdura,1423
2023-02-14,martes,"Lechuga y ensalada preparada",505
2023-02-14,martes,Fruta,718
2023-02-21,martes,Verdura,1266
2023-02-21,martes,"Lechuga y ensalada preparada",540
2023-02-21,martes,Fruta,729
2023-02-28,martes,Verdura,1316
2023-02-28,martes,"Lechuga y ensalada preparada",591
2023-02-28,martes,Fruta,697
2023-03-07,martes,Verdura,1283
2023-03-07,martes,"Lechuga y ensalada preparada",580
2023-03-07,martes,Fruta,694
2023-03-14,martes,Verdura,1329
2023-03-14,martes,"Lechuga y ensalada preparada",428
2023-03-14,martes,Fruta,663
2023-03-21,martes,Verdura,1382
2023-03-21,martes,"Lechuga y ensalada preparada",446
2023-03-21,martes,Fruta,771
2023-03-28,martes,Verdura,1409
2023-03-28,martes,"Lechuga y ensalada preparada",566
2023-03-28,martes,Fruta,696
2023-04-04,martes,Verdura,1371
2023-04-04,martes,"Lechuga y ensalada preparada",440
2023-04-04,martes,Fruta,811
2023-04-11,martes,Verdura,1360
2023-04-11,martes,"Lechuga y ensalada preparada",503
2023-04-11,martes,Fruta,840
2023-04-18,martes,Verdura,1424
2023-04-18,martes,"Lechuga y ensalada preparada",514
2023-04-18,martes,Fruta,800
2023-04-25,martes,Verdura,1297
2023-04-25,martes,"Lechuga y ensalada preparada",525
2023-04-25,martes,Fruta,694
2023-05-02,martes,Verdura,1327
2023-05-02,martes,"Lechuga y ensalada preparada",476
2023-05-02,martes,Fruta,658
2023-05-09,martes,Verdura,1381
2023-05-09,martes,"Lechuga y ensalada preparada",461
2023-05-09,martes,Fruta,841
2023-05-16,martes,Verdura,1370
2023-05-16,martes,"Lechuga y ensalada preparada",479
2023-05-16,martes,Fruta,733
2023-05-23,martes,Verdura,1425
2023-05-23,martes,"Lechuga y ensalada preparada",442
2023-05-23,martes,Fruta,812
2023-05-30,martes,Verdura,1347
2023-05-30,martes,"Lechuga y ensalada preparada",397
2023-05-30,martes,Fruta,720
