fecha,dia_semana,subcategoria,venta_total
2023-01-04,miércoles,Verdura,1727
2023-01-04,miércoles,"Lechuga y ensalada preparada",563
2023-01-04,miércoles,Fruta,945
2023-01-11,miércoles,Verdura,1731
2023-01-11,miércoles,"Lechuga y ensalada preparada",642
2023-01-11,miércoles,Fruta,877
2023-01-18,miércoles,Verdura,1411
2023-01-18,miércoles,"Lechuga y ensalada preparada",536
2023-01-18,miércoles,Fruta,1018
2023-01-25,miércoles,Verdura,1746
2023-01-25,miércoles,"Lechuga y ensalada preparada",606
2023-01-25,miércoles,Fruta,849
2023-02-01,miércoles,Verdura,1508
2023-02-01,miércoles,"Lechuga y ensalada preparada",514
2023-02-01,miércoles,Fruta,794
2023-02-08,miércoles,Verdura,1533
2023-02-08,miércoles,"Lechuga y ensalada preparada",604
2023-02-08,miércoles,Fruta,882
2023-02-15,miércoles,Verdura,1517
2023-02-15,miércoles,"Lechuga y ensalada preparada",576
2023-02-15,miércoles,Fruta,1019
2023-02-22,miércoles,Verdura,1717
2023-02-22,miércoles,"Lechuga y ensalada preparada",672
2023-02-22,miércoles,Fruta,756
2023-03-01,miércoles,Verdura,1599
2023-03-01,miércoles,"Lechuga y ensalada preparada",602
2023-03-01,miércoles,Fruta,916
2023-03-08,miércoles,Verdura,1574
2023-03-08,miércoles,"Lechuga y ensalada preparada",493
2023-03-08,miércoles,Fruta,890
2023-03-15,miércoles,Verdura,1808
2023-03-15,miércoles,"Lechuga y ensalada preparada",566
2023-03-15,miércoles,Fruta,879
2023-03-22,miércoles,Verdura,1502
2023-03-22,miércoles,"Lechuga y ensalada preparada",452
2023-03-22,miércoles,Fruta,834
2023-03-29,miércoles,Verdura,1760
2023-03-29,miércoles,"Lechuga y ensalada preparada",546
2023-03-29,miércoles,Fruta,835
2023-04-05,miércoles,Verdura,1613
2023-04-05,miércoles,"Lechuga y ensalada preparada",535
2023-04-05,miércoles,Fruta,825
2023-04-12,miércoles,Verdura,1558
2023-04-12,miércoles,"Lechuga y ensalada preparada",612
2023-04-12,miércoles,Fruta,858
2023-04-19,miércoles,Verdura,1677
2023-04-19,miércoles,"Lechuga y ensalada preparada",621
2023-04-19,miércoles,Fruta,861
2023-04-26,miércoles,Verdura,1565
2023-04-26,miércoles,"Lechuga y ensalada preparada",562
2023-04-26,miércoles,Fruta,859
2023-05-03,miércoles,Verdura,1545
2023-05-03,miércoles,"Lechuga y ensalada preparada",531
2023-05-03,miércoles,Fruta,964
2023-05-10,miércoles,Verdura,1543
2023-05-10,miércoles,"Lechuga y ensalada preparada",531
2023-05-10,miércoles,Fruta,828
2023-05-17,miércoles,Verdura,1526
2023-05-17,miércoles,"Lechuga y ensalada preparada",522
2023-05-17,miércoles,Fruta,807
2023-05-24,miércoles,Verdura,1673
2023-05-24,miércoles,"Lechuga y ensalada preparada",620
2023-05-24,miércoles,Fruta,933
