fecha,dia_semana,subcategoria,venta_total
2023-01-13,viernes,Verdura,2401
2023-01-13,viernes,"Lechuga y ensalada preparada",969
2023-01-13,viernes,Fruta,1287
2023-01-20,viernes,Verdura,2520
2023-01-20,viernes,"Lechuga y ensalada preparada",794
2023-01-20,viernes,Fruta,1367
2023-01-27,viernes,Verdura,2519
2023-01-27,viernes,"Lechuga y ensalada preparada",897
2023-01-27,viernes,Fruta,1529
2023-02-03,viernes,Verdura,2566
2023-02-03,viernes,"Lechuga y ensalada preparada",857
2023-02-03,viernes,Fruta,1346
2023-02-10,viernes,Verdura,2469
2023-02-10,viernes,"Lechuga y ensalada preparada",901
2023-02-10,viernes,Fruta,1268
2023-02-17,viernes,Verdura,2596
2023-02-17,viernes,"Lechuga y ensalada preparada",1135
2023-02-17,viernes,Fruta,1445
2023-02-24,viernes,Verdura,2321
2023-02-24,viernes,"Lechuga y ensalada preparada",915
2023-02-24,viernes,Fruta,1184
2023-03-03,viernes,Verdura,2601
2023-03-03,viernes,"Lechuga y ensalada preparada",1067
2023-03-03,viernes,Fruta,1293
2023-03-10,viernes,Verdura,2412
2023-03-10,viernes,"Lechuga y ensalada preparada",905
2023-03-10,viernes,Fruta,1296
2023-03-17,viernes,Verdura,2390
2023-03-17,viernes,"Lechuga y ensalada preparada",941
2023-03-17,viernes,Fruta,1511
2023-03-24,viernes,Verdura,2328
2023-03-24,viernes,"Lechuga y ensalada preparada",939
2023-03-24,viernes,Fruta,1436
2023-03-31,viernes,Verdura,2457
2023-03-31,viernes,"Lechuga y ensalada preparada",850
2023-03-31,viernes,Fruta,1454
2023-04-14,viernes,Verdura,2660
2023-04-14,viernes,"Lechuga y ensalada preparada",907
2023-04-14,viernes,Fruta,1237
2023-04-21,viernes,Verdura,3036
2023-04-21,viernes,"Lechuga y ensalada preparada",876
2023-04-21,viernes,Fruta,1230
2023-04-28,viernes,Verdura,2675
2023-04-28,viernes,"Lechuga y ensalada preparada",942
2023-04-28,viernes,Fruta,1395
2023-05-05,viernes,Verdura,2668
2023-05-05,viernes,"Lechuga y ensalada preparada",1032
2023-05-05,viernes,Fruta,1301
2023-05-12,viernes,Verdura,2538
2023-05-12,viernes,"Lechuga y ensalada preparada",1064
2023-05-12,viernes,Fruta,1369
2023-05-19,viernes,Verdura,2408
2023-05-19,viernes,"Lechuga y ensalada preparada",828
2023-05-19,viernes,Fruta,1291
2023-05-26,viernes,Verdura,2640
2023-05-26,viernes,"Lechuga y ensalada preparada",958
2023-05-26,viernes,Fruta,1397
