venta_id,fecha,dia_semana,numero_semana,categoria_id,lluvia,temperatura_minima,temperatura_maxima
1,2023-01-02,lunes,1,1,si,7.6,12.8
2,2023-01-03,martes,1,1,no,4.5,12.9
3,2023-01-04,miércoles,1,1,no,2.1,14.4
4,2023-01-05,jueves,1,1,no,2.5,14.0
5,2023-01-07,sábado,1,1,si,1.8,8.2
6,2023-01-09,lunes,2,1,no,4.6,13.4
7,2023-01-10,martes,2,1,si,2.2,12.9
8,2023-01-11,miércoles,2,1,si,4.8,11.0
9,2023-01-12,jueves,2,1,no,1.6,12.2
10,2023-01-13,viernes,2,1,no,3.2,12.2
11,2023-01-14,sábado,2,1,no,0.8,12.0
12,2023-01-16,lunes,3,1,si,1.7,10.4
13,2023-01-17,martes,3,1,no,2.2,10.5
14,2023-01-18,miércoles,3,1,si,2.0,7.4
15,2023-01-19,jueves,3,1,si,-0.6,7.8
16,2023-01-20,viernes,3,1,no,6.6,13.2
17,2023-01-21,sábado,3,1,no,3.3,11.0
18,2023-01-23,lunes,4,1,no,-2.5,10.1
19,2023-01-24,martes,4,1,no,-2.1,5.8
20,2023-01-25,miércoles,4,1,no,-1.5,10.8
21,2023-01-26,jueves,4,1,no,-1.0,10.4
22,2023-01-27,viernes,4,1,no,-3.2,9.0
23,2023-01-28,sábado,4,1,no,-2.6,10.3
24,2023-01-30,lunes,5,1,no,-2.2,9.6
25,2023-01-31,martes,5,1,no,-3.0,12.6
26,2023-02-01,miércoles,5,1,no,0.1,13.4
27,2023-02-02,jueves,5,1,no,0.5,14.5
28,2023-02-03,viernes,5,1,no,-0.2,18.1
29,2023-02-04,sábado,5,1,no,-0.4,17.4
30,2023-02-06,lunes,6,1,si,1.6,12.0
31,2023-02-07,martes,6,1,si,0.8,8.0
32,2023-02-08,miércoles,6,1,no,2.4,10.4
33,2023-02-09,jueves,6,1,no,3.3,11.2
34,2023-02-10,viernes,6,1,no,1.2,10.1
35,2023-02-11,sábado,6,1,no,0.5,11.5
36,2023-02-13,lunes,7,1,no,1.3,11.0
37,2023-02-14,martes,7,1,no,4.6,10.6
38,2023-02-15,miércoles,7,1,no,6.2,13.4
39,2023-02-16,jueves,7,1,no,2.7,15.8
40,2023-02-17,viernes,7,1,no,1.5,16.3
41,2023-02-18,sábado,7,1,no,5.2,15.3
42,2023-02-20,lunes,8,1,no,7.8,18.9
43,2023-02-21,martes,8,1,no,8.0,18.0
44,2023-02-22,miércoles,8,1,no,5.7,16.7
45,2023-02-23,jueves,8,1,si,2.0,9.8
46,2023-02-24,viernes,8,1,no,-1.5,10.7
47,2023-02-25,sábado,8,1,no,-1.0,10.0
48,2023-02-27,lunes,9,1,no,-1.8,7.8
49,2023-02-28,martes,9,1,no,-3.8,10.4
50,2023-03-01,miércoles,9,1,no,-4.0,7.7
51,2023-03-02,jueves,9,1,no,-2.5,11.6
52,2023-03-03,viernes,9,1,no,-1.0,14.0
53,2023-03-04,sábado,9,1,no,0.2,13.2
54,2023-03-06,lunes,10,1,si,4.4,13.4
55,2023-03-07,martes,10,1,si,7.5,15.2
56,2023-03-08,miércoles,10,1,si,9.6,16.9
57,2023-03-09,jueves,10,1,si,10.5,18.0
58,2023-03-10,viernes,10,1,no,7.6,19.2
59,2023-03-11,sábado,10,1,no,8.4,20.8
60,2023-03-13,lunes,11,1,no,9.4,20.5
61,2023-03-14,martes,11,1,no,6.4,17.9
62,2023-03-15,miércoles,11,1,no,5.5,20.5
63,2023-03-16,jueves,11,1,no,7.2,23.0
64,2023-03-17,viernes,11,1,no,10.7,17.0
65,2023-03-18,sábado,11,1,si,5.3,16.0
66,2023-03-20,lunes,12,1,no,6.0,20.5
67,2023-03-21,martes,12,1,no,6.8,21.4
68,2023-03-22,miércoles,12,1,no,8.0,22.0
69,2023-03-23,jueves,12,1,no,6.5,21.8
70,2023-03-24,viernes,12,1,no,9.6,19.0
71,2023-03-25,sábado,12,1,no,6.5,21.0
72,2023-03-27,lunes,13,1,no,6.5,21.0
73,2023-03-28,martes,13,1,no,7.2,23.6
74,2023-03-29,miércoles,13,1,no,9.6,26.0
75,2023-03-30,jueves,13,1,no,10.2,22.2
76,2023-03-31,viernes,13,1,no,10.0,20.9
77,2023-04-01,sábado,13,1,no,9.0,19.9
78,2023-04-03,lunes,14,1,no,4.0,20.0
79,2023-04-04,martes,14,1,no,7.0,20.7
80,2023-04-05,miércoles,14,1,no,4.2,22.1
81,2023-04-08,sábado,14,1,no,8.8,26.0
82,2023-04-10,lunes,15,1,no,13.2,27.4
83,2023-04-11,martes,15,1,no,10.8,26.4
84,2023-04-12,miércoles,15,1,si,9.4,19.9
85,2023-04-13,jueves,15,1,no,6.5,17.0
86,2023-04-14,viernes,15,1,no,7.0,20.0
87,2023-04-15,sábado,15,1,no,9.7,23.7
88,2023-04-17,lunes,16,1,no,9.3,25.5
89,2023-04-18,martes,16,1,no,9.5,23.2
90,2023-04-19,miércoles,16,1,no,10.3,24.6
91,2023-04-20,jueves,16,1,no,10.6,27.4
92,2023-04-21,viernes,16,1,si,11.0,25.6
93,2023-04-22,sábado,16,1,si,11.2,21.0
94,2023-04-24,lunes,17,1,no,11.2,25.8
95,2023-04-25,martes,17,1,no,13.0,28.6
96,2023-04-26,miércoles,17,1,no,14.2,29.6
97,2023-04-27,jueves,17,1,no,15.8,31.4
98,2023-04-28,viernes,17,1,no,18.5,31.8
99,2023-04-29,sábado,17,1,si,16.8,26.5
100,2023-05-02,martes,18,1,no,12.9,28.1
101,2023-05-03,miércoles,18,1,no,15.6,30.6
102,2023-05-04,jueves,18,1,no,13.7,25.2
103,2023-05-05,viernes,18,1,no,11.7,26.9
104,2023-05-06,sábado,18,1,no,13.0,27.8
105,2023-05-08,lunes,19,1,no,14.3,29.2
106,2023-05-09,martes,19,1,no,17.4,27.2
107,2023-05-10,miércoles,19,1,no,12.6,25.6
108,2023-05-11,jueves,19,1,no,10.0,22.8
109,2023-05-12,viernes,19,1,no,9.0,17.8
110,2023-05-13,sábado,19,1,no,6.6,21.0
111,2023-05-15,lunes,20,1,no,8.7,22.1
112,2023-05-16,martes,20,1,no,8.5,23.6
113,2023-05-17,miércoles,20,1,no,8.7,23.5
114,2023-05-18,jueves,20,1,no,9.5,22.6
115,2023-05-19,viernes,20,1,no,9.7,21.4
116,2023-05-20,sábado,20,1,no,7.6,21.4
117,2023-05-22,lunes,21,1,si,14.1,24.2
118,2023-05-23,martes,21,1,si,13.4,25.2
119,2023-05-24,miércoles,21,1,si,13.6,24.6
120,2023-05-25,jueves,21,1,si,13.6,24.8
121,2023-05-26,viernes,21,1,si,12.0,18.5
122,2023-05-27,sábado,21,1,si,13.0,21.7
123,2023-05-29,lunes,22,1,si,12.2,23.0
124,2023-05-30,martes,22,1,si,12.5,23.1
125,2023-05-31,miércoles,22,1,no,11.7,24.2
126,2023-06-01,jueves,22,1,desconocido,0.0,0.0
127,2023-06-02,viernes,22,1,desconocido,0.0,0.0
128,2023-06-03,sábado,22,1,desconocido,0.0,0.0
129,2023-06-05,lunes,23,1,desconocido,0.0,0.0
130,2023-06-06,martes,23,1,desconocido,0.0,0.0
131,2023-06-07,miércoles,23,1,desconocido,0.0,0.0
132,2023-06-08,jueves,23,1,desconocido,0.0,0.0
133,2023-06-09,viernes,23,1,desconocido,0.0,0.0
134,2023-06-10,sábado,23,1,desconocido,0.0,0.0
135,2023-06-12,lunes,24,1,desconocido,0.0,0.0
136,2023-06-13,martes,24,1,desconocido,0.0,0.0
137,2023-06-14,miércoles,24,1,desconocido,0.0,0.0
138,2023-06-15,jueves,24,1,desconocido,0.0,0.0
139,2023-06-16,viernes,24,1,desconocido,0.0,0.0
140,2023-06-17,sábado,24,1,desconocido,0.0,0.0
141,2023-06-19,lunes,25,1,desconocido,0.0,0.0
142,2023-06-20,martes,25,1,desconocido,0.0,0.0
143,2023-06-21,miércoles,25,1,desconocido,0.0,0.0
144,2023-06-22,jueves,25,1,desconocido,0.0,0.0
145,2023-06-23,viernes,25,1,desconocido,0.0,0.0
146,2023-06-24,sábado,25,1,desconocido,0.0,0.0
147,2023-06-26,lunes,26,1,desconocido,0.0,0.0
148,2023-06-27,martes,26,1,desconocido,0.0,0.0
149,2023-06-28,miércoles,26,1,desconocido,0.0,0.0
150,2023-06-29,jueves,26,1,desconocido,0.0,0.0
151,2023-06-30,viernes,26,1,desconocido,0.0,0.0
