venta_id,producto_id,venta,prevision
1,1,17,19
2,1,11,13
3,1,5,15
4,1,8,15
5,1,56,35
6,1,24,19
7,1,8,13
8,1,7,15
9,1,15,15
10,1,13,24
11,1,37,35
12,1,32,19
13,1,19,13
14,1,35,15
15,1,10,15
16,1,45,24
17,1,37,35
18,1,27,19
19,1,0,13
20,1,35,15
21,1,22,15
22,1,43,24
23,1,37,35
24,1,16,19
25,1,10,13
26,1,0,15
27,1,14,15
28,1,10,24
29,1,19,35
30,1,28,19
31,1,24,13
32,1,10,16
33,1,14,15
34,1,27,24
35,1,19,35
36,1,35,19
37,1,29,13
38,1,21,16
39,1,15,15
40,1,20,24
41,1,57,35
42,1,27,20
43,1,29,13
44,1,0,16
45,1,27,15
46,1,3,24
47,1,14,35
48,1,13,20
49,1,13,13
50,1,0,16
51,1,7,15
52,1,45,24
53,1,51,35
54,1,7,20
55,1,23,13
56,1,15,16
57,1,22,15
58,1,5,24
59,1,58,36
60,1,10,20
61,1,24,14
62,1,4,16
63,1,23,16
64,1,32,25
65,1,15,36
66,1,31,20
67,1,21,14
68,1,33,16
69,1,14,16
70,1,44,25
71,1,13,36
72,1,4,20
73,1,7,14
74,1,29,16
75,1,30,16
76,1,32,25
77,1,37,36
78,1,16,20
79,1,6,14
80,1,3,16
81,1,55,36
82,1,9,20
83,1,20,14
84,1,33,16
85,1,26,16
86,1,45,25
87,1,6,36
88,1,17,20
89,1,25,14
90,1,19,17
91,1,26,16
92,1,2,25
93,1,54,36
94,1,18,20
95,1,0,14
96,1,23,17
97,1,6,16
98,1,29,25
99,1,34,36
100,1,4,14
101,1,18,17
102,1,0,16
103,1,12,25
104,1,44,36
105,1,4,21
106,1,1,14
107,1,27,17
108,1,16,16
109,1,31,25
110,1,45,36
111,1,19,21
112,1,6,14
113,1,5,17
114,1,25,16
115,1,30,25
116,1,58,37
117,1,36,21
118,1,24,14
119,1,26,17
120,1,1,16
121,1,11,26
122,1,15,37
123,1,39,21
124,1,7,15
125,1,19,17
126,1,0,17
127,1,0,26
128,1,0,37
129,1,0,21
130,1,0,15
131,1,0,17
132,1,0,17
133,1,0,26
134,1,0,37
135,1,0,21
136,1,0,15
137,1,0,17
138,1,0,17
139,1,0,26
140,1,0,37
141,1,0,21
142,1,0,15
143,1,0,17
144,1,0,17
145,1,0,26
146,1,0,37
147,1,0,21
148,1,0,15
149,1,0,17
150,1,0,17
151,1,0,26
1,2,23,23
2,2,9,14
3,2,9,15
4,2,22,16
5,2,16,33
6,2,38,23
7,2,25,14
8,2,27,15
9,2,30,16
10,2,46,29
11,2,47,33
12,2,32,23
13,2,4,14
14,2,16,15
15,2,20,16
16,2,7,29
17,2,53,32
18,2,3,23
19,2,11,14
20,2,2,15
21,2,21,16
22,2,41,29
23,2,38,32
24,2,4,23
25,2,6,14
26,2,15,15
27,2,26,16
28,2,1,29
29,2,13,32
30,2,34,23
31,2,12,14
32,2,24,15
33,2,6,16
34,2,23,29
35,2,51,32
36,2,29,23
37,2,12,14
38,2,12,15
39,2,8,16
40,2,19,29
41,2,51,32
42,2,26,23
43,2,4,14
44,2,3,15
45,2,30,16
46,2,48,29
47,2,21,32
48,2,32,23
49,2,15,14
50,2,21,15
51,2,18,16
52,2,21,29
53,2,59,32
54,2,17,23
55,2,27,14
56,2,6,15
57,2,9,16
58,2,26,29
59,2,18,32
60,2,31,23
61,2,17,14
62,2,10,15
63,2,27,16
64,2,45,29
65,2,38,32
66,2,20,23
67,2,16,14
68,2,11,15
69,2,21,16
70,2,48,29
71,2,43,32
72,2,31,23
73,2,15,14
74,2,25,15
75,2,11,16
76,2,44,29
77,2,18,32
78,2,30,23
79,2,23,14
80,2,0,15
81,2,51,32
82,2,5,23
83,2,11,14
84,2,34,15
85,2,0,16
86,2,1,29
87,2,16,32
88,2,19,23
89,2,4,14
90,2,33,15
91,2,17,16
92,2,26,29
93,2,28,32
94,2,37,23
95,2,14,14
96,2,11,15
97,2,17,16
98,2,41,29
99,2,30,32
100,2,29,14
101,2,7,15
102,2,0,16
103,2,18,29
104,2,26,32
105,2,8,23
106,2,28,14
107,2,33,15
108,2,18,16
109,2,22,29
110,2,18,32
111,2,31,23
112,2,8,14
113,2,17,15
114,2,23,16
115,2,43,29
116,2,43,32
117,2,19,23
118,2,4,14
119,2,16,15
120,2,19,16
121,2,48,29
122,2,20,32
123,2,31,23
124,2,29,14
125,2,5,15
126,2,0,16
127,2,0,29
128,2,0,32
129,2,0,23
130,2,0,14
131,2,0,15
132,2,0,16
133,2,0,29
134,2,0,32
135,2,0,23
136,2,0,14
137,2,0,15
138,2,0,16
139,2,0,29
140,2,0,32
141,2,0,23
142,2,0,14
143,2,0,15
144,2,0,16
145,2,0,29
146,2,0,32
147,2,0,23
148,2,0,14
149,2,0,15
150,2,0,16
151,2,0,29
1,3,35,22
2,3,3,17
3,3,16,16
4,3,27,15
5,3,5,30
6,3,35,22
7,3,30,17
8,3,4,16
9,3,15,15
10,3,49,28
11,3,6,29
12,3,24,22
13,3,1,17
14,3,16,16
15,3,17,15
16,3,35,28
17,3,43,29
18,3,33,22
19,3,7,17
20,3,7,16
21,3,22,15
22,3,28,28
23,3,16,29
24,3,26,22
25,3,10,17
26,3,21,15
27,3,18,15
28,3,33,28
29,3,55,29
30,3,11,22
31,3,23,17
32,3,13,15
33,3,17,15
34,3,8,27
35,3,47,29
36,3,24,22
37,3,8,17
38,3,29,15
39,3,12,14
40,3,13,27
41,3,36,29
42,3,14,22
43,3,16,17
44,3,8,15
45,3,0,14
46,3,33,27
47,3,26,29
48,3,26,22
49,3,21,16
50,3,10,15
51,3,26,14
52,3,27,27
53,3,22,29
54,3,16,22
55,3,24,16
56,3,3,15
57,3,9,14
58,3,34,27
59,3,18,29
60,3,25,22
61,3,22,16
62,3,21,15
63,3,11,14
64,3,14,27
65,3,30,29
66,3,30,21
67,3,19,16
68,3,22,15
69,3,23,14
70,3,29,27
71,3,60,29
72,3,17,21
73,3,22,16
74,3,15,15
75,3,16,14
76,3,29,27
77,3,11,28
78,3,30,21
79,3,19,16
80,3,3,15
81,3,36,28
82,3,32,21
83,3,25,16
84,3,32,15
85,3,16,14
86,3,19,27
87,3,22,28
88,3,13,21
89,3,15,16
90,3,9,14
91,3,3,14
92,3,39,27
93,3,34,28
94,3,11,21
95,3,22,16
96,3,16,14
97,3,5,14
98,3,40,26
99,3,13,28
100,3,12,16
101,3,31,14
102,3,18,14
103,3,14,26
104,3,26,28
105,3,3,21
106,3,14,16
107,3,19,14
108,3,24,13
109,3,9,26
110,3,24,28
111,3,1,21
112,3,7,16
113,3,1,14
114,3,5,13
115,3,19,26
116,3,41,28
117,3,21,21
118,3,25,15
119,3,35,14
120,3,8,13
121,3,49,26
122,3,40,28
123,3,34,21
124,3,23,15
125,3,6,14
126,3,0,13
127,3,0,26
128,3,0,28
129,3,0,20
130,3,0,15
131,3,0,14
132,3,0,13
133,3,0,26
134,3,0,28
135,3,0,20
136,3,0,15
137,3,0,14
138,3,0,13
139,3,0,26
140,3,0,27
141,3,0,20
142,3,0,15
143,3,0,14
144,3,0,13
145,3,0,26
146,3,0,27
147,3,0,20
148,3,0,15
149,3,0,14
150,3,0,13
151,3,0,26
1,4,12,19
2,4,7,14
3,4,29,19
4,4,30,14
5,4,8,30
6,4,10,19
7,4,17,15
8,4,25,19
9,4,1,14
10,4,8,27
11,4,37,30
12,4,34,19
13,4,18,15
14,4,27,19
15,4,20,14
16,4,49,27
17,4,23,30
18,4,29,19
19,4,3,15
20,4,5,19
21,4,25,14
22,4,47,27
23,4,11,30
24,4,35,20
25,4,8,15
26,4,34,19
27,4,15,14
28,4,35,27
29,4,13,31
30,4,22,20
31,4,27,15
32,4,31,19
33,4,12,15
34,4,42,27
35,4,14,31
36,4,20,20
37,4,3,15
38,4,26,20
39,4,28,15
40,4,7,28
41,4,58,31
42,4,11,20
43,4,4,15
44,4,21,20
45,4,11,15
46,4,11,28
47,4,24,31
48,4,18,20
49,4,19,15
50,4,23,20
51,4,8,15
52,4,46,28
53,4,45,31
54,4,5,20
55,4,30,16
56,4,18,20
57,4,19,15
58,4,50,28
59,4,7,31
60,4,40,20
61,4,29,16
62,4,24,20
63,4,30,15
64,4,21,28
65,4,24,31
66,4,10,20
67,4,3,16
68,4,10,20
69,4,0,15
70,4,39,28
71,4,30,31
72,4,28,21
73,4,19,16
74,4,4,20
75,4,24,15
76,4,42,28
77,4,55,32
78,4,17,21
79,4,29,16
80,4,3,20
81,4,18,32
82,4,24,21
83,4,27,16
84,4,12,21
85,4,15,16
86,4,45,29
87,4,5,32
88,4,28,21
89,4,3,16
90,4,27,21
91,4,10,16
92,4,24,29
93,4,49,32
94,4,4,21
95,4,12,16
96,4,25,21
97,4,10,16
98,4,31,29
99,4,60,32
100,4,7,17
101,4,10,21
102,4,11,16
103,4,15,29
104,4,55,32
105,4,21,21
106,4,28,17
107,4,28,21
108,4,8,16
109,4,11,29
110,4,17,32
111,4,19,21
112,4,19,17
113,4,34,21
114,4,6,16
115,4,15,29
116,4,58,32
117,4,31,22
118,4,18,17
119,4,23,21
120,4,29,16
121,4,3,29
122,4,54,33
123,4,19,22
124,4,27,17
125,4,13,21
126,4,0,16
127,4,0,29
128,4,0,33
129,4,0,22
130,4,0,17
131,4,0,22
132,4,0,17
133,4,0,30
134,4,0,33
135,4,0,22
136,4,0,17
137,4,0,22
138,4,0,17
139,4,0,30
140,4,0,33
141,4,0,22
142,4,0,17
143,4,0,22
144,4,0,17
145,4,0,30
146,4,0,33
147,4,0,22
148,4,0,18
149,4,0,22
150,4,0,17
151,4,0,30
1,5,1,13
2,5,27,15
3,5,15,18
4,5,27,11
5,5,39,30
6,5,12,13
7,5,26,15
8,5,6,18
9,5,16,11
10,5,25,17
11,5,10,30
12,5,3,13
13,5,1,15
14,5,20,18
15,5,20,11
16,5,3,17
17,5,32,30
18,5,11,14
19,5,26,16
20,5,35,18
21,5,4,12
22,5,12,17
23,5,58,30
24,5,16,14
25,5,25,16
26,5,2,18
27,5,1,12
28,5,16,17
29,5,51,31
30,5,8,14
31,5,12,16
32,5,29,19
33,5,30,12
34,5,16,17
35,5,17,31
36,5,24,14
37,5,12,16
38,5,33,19
39,5,24,12
40,5,40,18
41,5,9,31
42,5,7,14
43,5,14,16
44,5,19,19
45,5,14,12
46,5,26,18
47,5,57,31
48,5,28,15
49,5,28,17
50,5,26,19
51,5,10,12
52,5,9,18
53,5,9,31
54,5,11,15
55,5,25,17
56,5,4,19
57,5,17,13
58,5,19,18
59,5,48,31
60,5,14,15
61,5,6,17
62,5,18,19
63,5,15,13
64,5,17,18
65,5,26,32
66,5,21,15
67,5,6,17
68,5,29,20
69,5,15,13
70,5,2,18
71,5,10,32
72,5,40,15
73,5,14,17
74,5,31,20
75,5,20,13
76,5,42,19
77,5,23,32
78,5,3,15
79,5,26,17
80,5,32,20
81,5,18,32
82,5,12,16
83,5,27,18
84,5,23,20
85,5,11,13
86,5,7,19
87,5,26,32
88,5,35,16
89,5,3,18
90,5,31,20
91,5,17,14
92,5,4,19
93,5,53,33
94,5,14,16
95,5,8,18
96,5,29,21
97,5,2,14
98,5,25,19
99,5,45,33
100,5,25,18
101,5,0,21
102,5,9,14
103,5,48,19
104,5,27,33
105,5,12,16
106,5,28,18
107,5,5,21
108,5,1,14
109,5,31,20
110,5,33,33
111,5,28,16
112,5,27,18
113,5,26,21
114,5,16,14
115,5,6,20
116,5,35,33
117,5,24,17
118,5,3,19
119,5,29,21
120,5,1,15
121,5,13,20
122,5,51,33
123,5,4,17
124,5,20,19
125,5,4,21
126,5,0,15
127,5,0,20
128,5,0,34
129,5,0,17
130,5,0,19
131,5,0,22
132,5,0,15
133,5,0,20
134,5,0,34
135,5,0,17
136,5,0,19
137,5,0,22
138,5,0,15
139,5,0,21
140,5,0,34
141,5,0,17
142,5,0,19
143,5,0,22
144,5,0,15
145,5,0,21
146,5,0,34
147,5,0,18
148,5,0,20
149,5,0,22
150,5,0,15
151,5,0,21
1,6,11,15
2,6,12,13
3,6,12,18
4,6,21,11
5,6,45,32
6,6,15,15
7,6,10,13
8,6,27,18
9,6,8,11
10,6,30,31
11,6,30,32
12,6,27,15
13,6,24,13
14,6,18,18
15,6,1,11
16,6,15,31
17,6,54,32
18,6,1,15
19,6,26,14
20,6,7,18
21,6,9,11
22,6,13,31
23,6,24,32
24,6,24,16
25,6,28,14
26,6,1,18
27,6,11,11
28,6,49,31
29,6,26,32
30,6,34,16
31,6,27,14
32,6,33,18
33,6,1,11
34,6,49,31
35,6,41,32
36,6,15,16
37,6,7,14
38,6,23,18
39,6,16,12
40,6,36,31
41,6,10,32
42,6,19,16
43,6,30,14
44,6,29,18
45,6,12,12
46,6,49,31
47,6,45,32
48,6,3,16
49,6,16,14
50,6,19,18
51,6,17,12
52,6,12,31
53,6,60,32
54,6,9,16
55,6,3,14
56,6,18,18
57,6,0,12
58,6,44,31
59,6,27,32
60,6,3,16
61,6,3,14
62,6,15,18
63,6,18,12
64,6,12,31
65,6,12,32
66,6,14,16
67,6,3,14
68,6,32,19
69,6,16,12
70,6,30,31
71,6,9,33
72,6,9,16
73,6,18,14
74,6,27,19
75,6,14,12
76,6,29,31
77,6,29,33
78,6,4,16
79,6,0,14
80,6,28,19
81,6,25,33
82,6,39,16
83,6,16,14
84,6,24,19
85,6,15,12
86,6,37,31
87,6,10,33
88,6,29,16
89,6,28,14
90,6,1,19
91,6,10,12
92,6,50,31
93,6,26,33
94,6,24,16
95,6,1,14
96,6,6,19
97,6,17,12
98,6,48,32
99,6,42,33
100,6,8,14
101,6,8,19
102,6,10,12
103,6,41,32
104,6,40,33
105,6,5,16
106,6,16,15
107,6,30,19
108,6,30,12
109,6,7,32
110,6,60,33
111,6,12,17
112,6,29,15
113,6,30,19
114,6,14,12
115,6,27,32
116,6,46,33
117,6,19,17
118,6,1,15
119,6,19,19
120,6,5,12
121,6,25,32
122,6,33,33
123,6,29,17
124,6,13,15
125,6,11,19
126,6,0,13
127,6,0,32
128,6,0,33
129,6,0,17
130,6,0,15
131,6,0,19
132,6,0,13
133,6,0,32
134,6,0,33
135,6,0,17
136,6,0,15
137,6,0,19
138,6,0,13
139,6,0,32
140,6,0,33
141,6,0,17
142,6,0,15
143,6,0,19
144,6,0,13
145,6,0,32
146,6,0,33
147,6,0,17
148,6,0,15
149,6,0,19
150,6,0,13
151,6,0,32
1,7,13,22
2,7,23,14
3,7,12,15
4,7,19,18
5,7,19,29
6,7,22,22
7,7,6,14
8,7,24,15
9,7,26,18
10,7,22,26
11,7,36,29
12,7,12,22
13,7,27,14
14,7,13,15
15,7,16,18
16,7,11,26
17,7,17,29
18,7,38,22
19,7,4,14
20,7,5,15
21,7,26,18
22,7,35,25
23,7,42,29
24,7,5,22
25,7,0,14
26,7,17,15
27,7,28,18
28,7,34,25
29,7,39,29
30,7,27,22
31,7,29,14
32,7,21,15
33,7,20,18
34,7,24,25
35,7,54,29
36,7,19,22
37,7,18,14
38,7,6,15
39,7,24,18
40,7,8,25
41,7,7,29
42,7,16,22
43,7,1,14
44,7,15,15
45,7,23,18
46,7,43,25
47,7,9,29
48,7,34,22
49,7,12,14
50,7,5,15
51,7,13,18
52,7,1,25
53,7,51,29
54,7,40,22
55,7,11,14
56,7,13,15
57,7,24,18
58,7,37,25
59,7,42,29
60,7,21,22
61,7,7,14
62,7,17,15
63,7,5,18
64,7,36,25
65,7,53,29
66,7,1,21
67,7,11,13
68,7,33,15
69,7,25,18
70,7,26,25
71,7,19,29
72,7,37,21
73,7,1,13
74,7,0,15
75,7,9,18
76,7,1,25
77,7,25,29
78,7,23,21
79,7,7,13
80,7,11,15
81,7,40,29
82,7,28,21
83,7,21,13
84,7,6,15
85,7,17,18
86,7,28,25
87,7,11,29
88,7,19,21
89,7,29,13
90,7,11,15
91,7,10,18
92,7,24,25
93,7,39,29
94,7,5,21
95,7,27,13
96,7,29,14
97,7,16,18
98,7,18,25
99,7,10,29
100,7,1,13
101,7,31,14
102,7,27,18
103,7,48,25
104,7,15,29
105,7,29,21
106,7,17,13
107,7,35,14
108,7,27,18
109,7,31,25
110,7,8,29
111,7,30,21
112,7,8,13
113,7,2,14
114,7,6,17
115,7,22,25
116,7,33,29
117,7,5,21
118,7,25,13
119,7,20,14
120,7,8,17
121,7,39,25
122,7,53,28
123,7,39,21
124,7,22,13
125,7,9,14
126,7,0,17
127,7,0,25
128,7,0,28
129,7,0,21
130,7,0,13
131,7,0,14
132,7,0,17
133,7,0,25
134,7,0,28
135,7,0,21
136,7,0,13
137,7,0,14
138,7,0,17
139,7,0,24
140,7,0,28
141,7,0,21
142,7,0,13
143,7,0,14
144,7,0,17
145,7,0,24
146,7,0,28
147,7,0,21
148,7,0,13
149,7,0,14
150,7,0,17
151,7,0,24
1,8,25,26
2,8,5,16
3,8,14,21
4,8,21,20
5,8,38,37
6,8,35,25
7,8,5,16
8,8,1,21
9,8,24,20
10,8,35,26
11,8,18,36
12,8,28,25
13,8,27,15
14,8,28,21
15,8,17,19
16,8,29,26
17,8,51,36
18,8,33,25
19,8,8,15
20,8,21,20
21,8,30,19
22,8,25,26
23,8,47,36
24,8,38,25
25,8,7,15
26,8,30,20
27,8,24,19
28,8,37,26
29,8,33,36
30,8,32,24
31,8,15,15
32,8,10,20
33,8,30,19
34,8,46,25
35,8,8,35
36,8,33,24
37,8,15,14
38,8,14,20
39,8,4,18
40,8,31,25
41,8,57,35
42,8,40,24
43,8,26,14
44,8,11,19
45,8,16,18
46,8,30,25
47,8,50,35
48,8,18,23
49,8,22,14
50,8,10,19
51,8,2,18
52,8,18,25
53,8,7,35
54,8,30,23
55,8,21,14
56,8,5,19
57,8,21,18
58,8,31,24
59,8,49,34
60,8,12,23
61,8,5,13
62,8,22,19
63,8,2,17
64,8,19,24
65,8,7,34
66,8,10,23
67,8,13,13
68,8,29,18
69,8,27,17
70,8,28,24
71,8,8,34
72,8,14,22
73,8,19,13
74,8,16,18
75,8,24,17
76,8,11,24
77,8,50,34
78,8,31,22
79,8,14,13
80,8,14,18
81,8,59,33
82,8,32,22
83,8,28,12
84,8,8,18
85,8,21,16
86,8,2,23
87,8,51,33
88,8,10,22
89,8,0,12
